機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
アイムジャグラーEX-TP,881,7190,-680,23,22,0,1/159.8,1/312.6,1/326.8,1/0.0
アイムジャグラーEX-TP,882,4653,-1314,13,13,0,1/179.0,1/357.9,1/357.9,1/0.0
アイムジャグラーEX-TP,883,3473,-1291,7,8,0,1/231.5,1/496.1,1/434.1,1/0.0
アイムジャグラーEX-TP,884,6995,0,25,20,0,1/155.4,1/279.8,1/349.8,1/0.0
アイムジャグラーEX-TP,885,5894,-407,22,14,0,1/163.7,1/267.9,1/421.0,1/0.0
アイムジャグラーEX-TP,886,4489,174,17,12,0,1/154.8,1/264.1,1/374.1,1/0.0
アイムジャグラーEX-TP,887,3112,-1826,6,7,0,1/239.4,1/518.7,1/444.6,1/0.0
アイムジャグラーEX-TP,888,4649,-87,16,15,0,1/150.0,1/290.6,1/309.9,1/0.0
アイムジャグラーEX-TP,889,5665,-1919,13,20,0,1/171.7,1/435.8,1/283.2,1/0.0
アイムジャグラーEX-TP,890,4746,576,18,19,0,1/128.3,1/263.7,1/249.8,1/0.0
アイムジャグラーEX-TP,891,5136,110,18,15,0,1/155.6,1/285.3,1/342.4,1/0.0
アイムジャグラーEX-TP,892,4533,-180,16,12,0,1/161.9,1/283.3,1/377.8,1/0.0
アイムジャグラーEX-TP,893,7919,3093,40,27,0,1/118.2,1/198.0,1/293.3,1/0.0
アイムジャグラーEX-TP,894,4791,-110,18,13,0,1/154.5,1/266.2,1/368.5,1/0.0
アイムジャグラーEX-TP,895,9209,-3326,22,26,0,1/191.9,1/418.6,1/354.2,1/0.0
アイムジャグラーEX-TP,896,5509,262,20,18,0,1/145.0,1/275.4,1/306.1,1/0.0
アイムジャグラーEX-TP,897,6070,-634,20,21,0,1/148.0,1/303.5,1/289.0,1/0.0
アイムジャグラーEX-TP,898,7498,192,27,29,0,1/133.9,1/277.7,1/258.6,1/0.0
アイムジャグラーEX-TP,899,5040,-285,16,20,0,1/140.0,1/315.0,1/252.0,1/0.0
アイムジャグラーEX-TP,900,7295,122,27,20,0,1/155.2,1/270.2,1/364.8,1/0.0
アイムジャグラーEX-TP,901,5961,-709,21,15,0,1/165.6,1/283.9,1/397.4,1/0.0
アイムジャグラーEX-TP,902,4787,-424,15,16,0,1/154.4,1/319.1,1/299.2,1/0.0
アイムジャグラーEX-TP,903,6718,4151,41,18,0,1/113.9,1/163.9,1/373.2,1/0.0
アイムジャグラーEX-TP,904,3834,99,14,10,0,1/159.8,1/273.9,1/383.4,1/0.0
アイムジャグラーEX-TP,905,3500,-1058,9,8,0,1/205.9,1/388.9,1/437.5,1/0.0
アイムジャグラーEX-TP,906,5629,-1198,14,23,0,1/152.1,1/402.1,1/244.7,1/0.0
アイムジャグラーEX-TP,907,6757,547,26,23,0,1/137.9,1/259.9,1/293.8,1/0.0
アイムジャグラーEX-TP,908,9029,3093,41,40,0,1/111.5,1/220.2,1/225.7,1/0.0
アイムジャグラーEX-TP,909,5536,29,21,17,0,1/145.7,1/263.6,1/325.6,1/0.0
アイムジャグラーEX-TP,910,4452,-738,14,12,0,1/171.2,1/318.0,1/371.0,1/0.0
アイムジャグラーEX-TP,911,2860,-965,7,8,0,1/190.7,1/408.6,1/357.5,1/0.0
アイムジャグラーEX-TP,912,6167,-52,25,15,0,1/154.2,1/246.7,1/411.1,1/0.0
アイムジャグラーEX-TP,913,4128,-1453,9,13,0,1/187.6,1/458.7,1/317.5,1/0.0
アイムジャグラーEX-TP,914,4784,576,20,10,0,1/159.5,1/239.2,1/478.4,1/0.0
アイムジャグラーEX-TP,915,8343,0,26,32,0,1/143.8,1/320.9,1/260.7,1/0.0
アイムジャグラーEX-TP,916,5512,593,22,19,0,1/134.4,1/250.5,1/290.1,1/0.0
アイムジャグラーEX-TP,917,7669,2814,36,29,0,1/118.0,1/213.0,1/264.4,1/0.0
アイムジャグラーEX-TP,918,4411,-1105,13,13,0,1/169.7,1/339.3,1/339.3,1/0.0
アイムジャグラーEX-TP,919,8177,826,32,30,0,1/131.9,1/255.5,1/272.6,1/0.0
アイムジャグラーEX-TP,920,6409,378,24,19,0,1/149.0,1/267.0,1/337.3,1/0.0
ゴーゴージャグラー3,921,5689,331,23,18,0,1/138.8,1/247.3,1/316.1,1/0.0
ゴーゴージャグラー3,922,4254,-1407,13,11,0,1/177.2,1/327.2,1/386.7,1/0.0
ゴーゴージャグラー3,923,5898,657,25,16,0,1/143.9,1/235.9,1/368.6,1/0.0
ゴーゴージャグラー3,924,5982,-314,24,20,0,1/136.0,1/249.2,1/299.1,1/0.0
ゴーゴージャグラー3,925,2208,-994,6,3,0,1/245.3,1/368.0,1/736.0,1/0.0
ゴーゴージャグラー3,926,4260,-1570,13,7,0,1/213.0,1/327.7,1/608.6,1/0.0
ゴーゴージャグラー3,927,9375,1407,39,41,0,1/117.2,1/240.4,1/228.7,1/0.0
ゴーゴージャグラー3,928,4832,-657,15,17,0,1/151.0,1/322.1,1/284.2,1/0.0
ゴーゴージャグラー3,929,5660,826,27,15,0,1/134.8,1/209.6,1/377.3,1/0.0
ゴーゴージャグラー3,930,4247,-680,13,15,0,1/151.7,1/326.7,1/283.1,1/0.0
ゴーゴージャグラー3,931,4533,669,21,9,0,1/151.1,1/215.9,1/503.7,1/0.0
ゴーゴージャグラー3,932,5032,1221,26,13,0,1/129.0,1/193.5,1/387.1,1/0.0
ゴーゴージャグラー3,933,8655,2023,33,38,0,1/121.9,1/262.3,1/227.8,1/0.0
ゴーゴージャグラー3,934,7858,1930,33,39,0,1/109.1,1/238.1,1/201.5,1/0.0
ゴーゴージャグラー3,935,5283,76,20,18,0,1/139.0,1/264.1,1/293.5,1/0.0
ゴーゴージャグラー3,936,5632,-680,20,18,0,1/148.2,1/281.6,1/312.9,1/0.0
ゴーゴージャグラー3,937,4939,-2256,10,18,0,1/176.4,1/493.9,1/274.4,1/0.0
ゴーゴージャグラー3,938,4557,-1547,10,18,0,1/162.8,1/455.7,1/253.2,1/0.0
ゴーゴージャグラー3,939,4789,-1198,14,16,0,1/159.6,1/342.1,1/299.3,1/0.0
ゴーゴージャグラー3,940,7211,-1407,20,26,0,1/156.8,1/360.6,1/277.3,1/0.0
スマスロ北斗の拳,291,3154,-2628,13,5,0,1/175.2,1/242.6,1/630.8,1/0.0
スマスロ北斗の拳,292,5111,-1314,46,14,0,1/85.2,1/111.1,1/365.1,1/0.0
スマスロ北斗の拳,293,2398,-523,27,3,0,1/79.9,1/88.8,1/799.3,1/0.0
スマスロ北斗の拳,294,3672,2721,60,10,0,1/52.5,1/61.2,1/367.2,1/0.0
スマスロ北斗の拳,295,6480,2953,88,31,0,1/54.5,1/73.6,1/209.0,1/0.0
スマスロ北斗の拳,296,2382,-663,23,5,0,1/85.1,1/103.6,1/476.4,1/0.0
スマスロ北斗の拳,297,4889,2965,74,14,0,1/55.6,1/66.1,1/349.2,1/0.0
スマスロ北斗の拳,298,2221,-442,20,5,0,1/88.8,1/111.0,1/444.2,1/0.0
スマスロ北斗の拳,299,2194,-453,18,5,0,1/95.4,1/121.9,1/438.8,1/0.0
スマスロ北斗の拳,300,6186,4430,94,25,0,1/52.0,1/65.8,1/247.4,1/0.0
スマスロ北斗の拳,301,5032,-1465,49,6,0,1/91.5,1/102.7,1/838.7,1/0.0
スマスロ北斗の拳,302,4319,-3000,24,8,0,1/135.0,1/180.0,1/539.9,1/0.0
スマスロ北斗の拳,303,3478,-924,34,7,0,1/84.8,1/102.3,1/496.9,1/0.0
スマスロ北斗の拳,304,4191,1384,56,12,0,1/61.6,1/74.8,1/349.2,1/0.0
スマスロ北斗の拳,305,5721,779,67,22,0,1/64.3,1/85.4,1/260.0,1/0.0
スマスロ北斗の拳,306,4040,2023,59,8,0,1/60.3,1/68.5,1/505.0,1/0.0
スマスロ北斗の拳,307,4347,895,50,11,0,1/71.3,1/86.9,1/395.2,1/0.0
スマスロ北斗の拳,308,2709,3884,60,6,0,1/41.0,1/45.1,1/451.5,1/0.0
スマスロ北斗の拳,309,4778,-2023,32,13,0,1/106.2,1/149.3,1/367.5,1/0.0
スマスロ北斗の拳,310,2704,-1035,18,10,0,1/96.6,1/150.2,1/270.4,1/0.0
ハナハナホウオウ～天翔～-30,641,5329,227,16,19,0,1/152.3,1/333.1,1/280.5,1/0.0
ハナハナホウオウ～天翔～-30,642,546,-366,1,0,0,1/546.0,1/546.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,643,7976,1174,34,18,0,1/153.4,1/234.6,1/443.1,1/0.0
