機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,2552,-564,7,9,0,1/159.5,1/364.6,1/283.6,1/0.0
ネオアイムジャグラーEX,882,1841,-180,6,4,0,1/184.1,1/306.8,1/460.2,1/0.0
ネオアイムジャグラーEX,883,4284,-599,15,13,0,1/153.0,1/285.6,1/329.5,1/0.0
ネオアイムジャグラーEX,884,425,-378,0,1,0,1/425.0,1/0.0,1/425.0,1/0.0
ネオアイムジャグラーEX,885,3885,1384,18,15,0,1/117.7,1/215.8,1/259.0,1/0.0
ネオアイムジャグラーEX,886,659,-424,2,0,0,1/329.5,1/329.5,1/0.0,1/0.0
ネオアイムジャグラーEX,887,7606,2953,37,24,0,1/124.7,1/205.6,1/316.9,1/0.0
ネオアイムジャグラーEX,888,335,-459,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ネオアイムジャグラーEX,889,4595,17,17,16,0,1/139.2,1/270.3,1/287.2,1/0.0
ネオアイムジャグラーEX,890,518,-227,1,2,0,1/172.7,1/518.0,1/259.0,1/0.0
ネオアイムジャグラーEX,891,2215,-820,5,7,0,1/184.6,1/443.0,1/316.4,1/0.0
ネオアイムジャグラーEX,892,858,-494,2,1,0,1/286.0,1/429.0,1/858.0,1/0.0
ネオアイムジャグラーEX,893,4621,1419,20,20,0,1/115.5,1/231.1,1/231.1,1/0.0
ネオアイムジャグラーEX,894,917,-471,2,2,0,1/229.2,1/458.5,1/458.5,1/0.0
ネオアイムジャグラーEX,895,916,238,4,2,0,1/152.7,1/229.0,1/458.0,1/0.0
ネオアイムジャグラーEX,896,2310,-669,9,0,0,1/256.7,1/256.7,1/0.0,1/0.0
ネオアイムジャグラーEX,897,1121,-703,1,5,0,1/186.8,1/1121.0,1/224.2,1/0.0
ネオアイムジャグラーEX,898,193,-250,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ネオアイムジャグラーEX,899,5504,1407,25,18,0,1/128.0,1/220.2,1/305.8,1/0.0
ネオアイムジャグラーEX,900,1605,-238,6,2,0,1/200.6,1/267.5,1/802.5,1/0.0
ネオアイムジャグラーEX,901,2580,-1058,7,5,0,1/215.0,1/368.6,1/516.0,1/0.0
ネオアイムジャグラーEX,902,2256,-866,6,4,0,1/225.6,1/376.0,1/564.0,1/0.0
ネオアイムジャグラーEX,903,542,-564,0,1,0,1/542.0,1/0.0,1/542.0,1/0.0
ネオアイムジャグラーEX,904,3291,1035,14,12,0,1/126.6,1/235.1,1/274.2,1/0.0
ネオアイムジャグラーEX,905,561,-331,1,1,0,1/280.5,1/561.0,1/561.0,1/0.0
ネオアイムジャグラーEX,906,1244,-843,2,1,0,1/414.7,1/622.0,1/1244.0,1/0.0
ネオアイムジャグラーEX,907,1936,-215,7,3,0,1/193.6,1/276.6,1/645.3,1/0.0
ネオアイムジャグラーEX,908,379,-192,1,1,0,1/189.5,1/379.0,1/379.0,1/0.0
ネオアイムジャグラーEX,909,5794,593,22,21,0,1/134.7,1/263.4,1/275.9,1/0.0
ネオアイムジャグラーEX,910,1010,-378,3,2,0,1/202.0,1/336.7,1/505.0,1/0.0
ネオアイムジャグラーEX,911,1471,-238,5,4,0,1/163.4,1/294.2,1/367.8,1/0.0
ネオアイムジャグラーEX,912,464,-355,0,1,0,1/464.0,1/0.0,1/464.0,1/0.0
ネオアイムジャグラーEX,913,4493,826,19,18,0,1/121.4,1/236.5,1/249.6,1/0.0
ネオアイムジャグラーEX,914,1664,494,9,1,0,1/166.4,1/184.9,1/1664.0,1/0.0
ネオアイムジャグラーEX,915,1528,-285,4,6,0,1/152.8,1/382.0,1/254.7,1/0.0
ネオアイムジャグラーEX,916,2240,145,9,6,0,1/149.3,1/248.9,1/373.3,1/0.0
ネオアイムジャグラーEX,917,3169,110,12,10,0,1/144.0,1/264.1,1/316.9,1/0.0
ネオアイムジャグラーEX,918,240,366,3,0,0,1/80.0,1/80.0,1/0.0,1/0.0
ネオアイムジャグラーEX,919,3040,-785,8,12,0,1/152.0,1/380.0,1/253.3,1/0.0
ネオアイムジャグラーEX,920,2320,-401,7,5,0,1/193.3,1/331.4,1/464.0,1/0.0
ゴーゴージャグラー3,921,7516,-360,24,34,0,1/129.6,1/313.2,1/221.1,1/0.0
ゴーゴージャグラー3,922,1067,99,5,3,0,1/133.4,1/213.4,1/355.7,1/0.0
ゴーゴージャグラー3,923,2184,76,8,9,0,1/128.5,1/273.0,1/242.7,1/0.0
