機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,5731,-1570,14,16,0,1/191.0,1/409.4,1/358.2,1/0.0
ネオアイムジャグラーEX,882,7091,-308,22,22,0,1/161.2,1/322.3,1/322.3,1/0.0
ネオアイムジャグラーEX,883,5294,1640,27,11,0,1/139.3,1/196.1,1/481.3,1/0.0
ネオアイムジャグラーEX,884,5595,-657,17,19,0,1/155.4,1/329.1,1/294.5,1/0.0
ネオアイムジャグラーEX,885,7632,-965,25,23,0,1/159.0,1/305.3,1/331.8,1/0.0
ネオアイムジャグラーEX,886,8527,407,29,35,0,1/133.2,1/294.0,1/243.6,1/0.0
ネオアイムジャグラーEX,887,5010,238,20,10,0,1/167.0,1/250.5,1/501.0,1/0.0
ネオアイムジャグラーEX,888,4417,-756,14,13,0,1/163.6,1/315.5,1/339.8,1/0.0
ネオアイムジャグラーEX,889,6451,-244,24,17,0,1/157.3,1/268.8,1/379.5,1/0.0
ネオアイムジャグラーEX,890,4382,-1477,12,9,0,1/208.7,1/365.2,1/486.9,1/0.0
ネオアイムジャグラーEX,891,5543,733,25,14,0,1/142.1,1/221.7,1/395.9,1/0.0
ネオアイムジャグラーEX,892,7277,2442,33,31,0,1/113.7,1/220.5,1/234.7,1/0.0
ネオアイムジャグラーEX,893,6677,1930,34,20,0,1/123.6,1/196.4,1/333.9,1/0.0
ネオアイムジャグラーEX,894,8041,2302,36,30,0,1/121.8,1/223.4,1/268.0,1/0.0
ネオアイムジャグラーEX,895,8891,1058,32,39,0,1/125.2,1/277.8,1/228.0,1/0.0
ネオアイムジャグラーEX,896,3459,-459,12,8,0,1/172.9,1/288.2,1/432.4,1/0.0
ネオアイムジャグラーEX,897,7013,988,25,32,0,1/123.0,1/280.5,1/219.2,1/0.0
ネオアイムジャグラーEX,898,8503,384,29,34,0,1/135.0,1/293.2,1/250.1,1/0.0
ネオアイムジャグラーEX,899,5251,-901,18,15,0,1/159.1,1/291.7,1/350.1,1/0.0
ネオアイムジャグラーEX,900,6038,-1744,13,22,0,1/172.5,1/464.5,1/274.5,1/0.0
ネオアイムジャグラーEX,901,6422,227,23,23,0,1/139.6,1/279.2,1/279.2,1/0.0
ネオアイムジャグラーEX,902,5981,-686,18,16,0,1/175.9,1/332.3,1/373.8,1/0.0
ネオアイムジャグラーEX,903,4953,-494,19,9,0,1/176.9,1/260.7,1/550.3,1/0.0
ネオアイムジャグラーEX,904,4637,-1453,13,9,0,1/210.8,1/356.7,1/515.2,1/0.0
ネオアイムジャグラーEX,905,6181,-17,25,15,0,1/154.5,1/247.2,1/412.1,1/0.0
ネオアイムジャグラーEX,906,5419,-2023,13,13,0,1/208.4,1/416.8,1/416.8,1/0.0
ネオアイムジャグラーEX,907,4767,541,22,11,0,1/144.5,1/216.7,1/433.4,1/0.0
ネオアイムジャグラーEX,908,6501,2256,30,25,0,1/118.2,1/216.7,1/260.0,1/0.0
ネオアイムジャグラーEX,909,6301,2302,31,21,0,1/121.2,1/203.3,1/300.0,1/0.0
ネオアイムジャグラーEX,910,6221,1756,29,19,0,1/129.6,1/214.5,1/327.4,1/0.0
ネオアイムジャグラーEX,911,7481,-802,24,25,0,1/152.7,1/311.7,1/299.2,1/0.0
ネオアイムジャグラーEX,912,7242,-1058,21,27,0,1/150.9,1/344.9,1/268.2,1/0.0
ネオアイムジャグラーEX,913,7753,1698,35,27,0,1/125.0,1/221.5,1/287.1,1/0.0
ネオアイムジャグラーEX,914,7369,1779,32,27,0,1/124.9,1/230.3,1/272.9,1/0.0
ネオアイムジャグラーEX,915,8008,2953,42,24,0,1/121.3,1/190.7,1/333.7,1/0.0
ネオアイムジャグラーEX,916,4452,-430,15,12,0,1/164.9,1/296.8,1/371.0,1/0.0
ネオアイムジャグラーEX,917,6674,-477,25,18,0,1/155.2,1/267.0,1/370.8,1/0.0
ネオアイムジャグラーEX,918,4706,-645,17,8,0,1/188.2,1/276.8,1/588.2,1/0.0
ネオアイムジャグラーEX,919,5505,-686,20,15,0,1/157.3,1/275.2,1/367.0,1/0.0
ネオアイムジャグラーEX,920,6189,-907,20,13,0,1/187.5,1/309.4,1/476.1,1/0.0
ゴーゴージャグラー3,921,7525,-430,24,33,0,1/132.0,1/313.5,1/228.0,1/0.0
ゴーゴージャグラー3,922,5322,-1942,15,14,0,1/183.5,1/354.8,1/380.1,1/0.0
ゴーゴージャグラー3,923,7858,424,33,24,0,1/137.9,1/238.1,1/327.4,1/0.0
ゴーゴージャグラー3,924,5251,-634,20,14,0,1/154.4,1/262.6,1/375.1,1/0.0
ゴーゴージャグラー3,925,5181,-640,16,20,0,1/143.9,1/323.8,1/259.1,1/0.0
ゴーゴージャグラー3,926,7350,-390,23,30,0,1/138.7,1/319.6,1/245.0,1/0.0
ゴーゴージャグラー3,927,4971,-733,16,16,0,1/155.3,1/310.7,1/310.7,1/0.0
ゴーゴージャグラー3,928,7784,988,31,35,0,1/117.9,1/251.1,1/222.4,1/0.0
ゴーゴージャグラー3,929,8379,570,36,26,0,1/135.1,1/232.8,1/322.3,1/0.0
ゴーゴージャグラー3,930,6146,-1791,19,15,0,1/180.8,1/323.5,1/409.7,1/0.0
ゴーゴージャグラー3,931,4694,-2349,10,13,0,1/204.1,1/469.4,1/361.1,1/0.0
ゴーゴージャグラー3,932,6976,-76,27,24,0,1/136.8,1/258.4,1/290.7,1/0.0
ゴーゴージャグラー3,933,8852,1047,32,39,0,1/124.7,1/276.6,1/227.0,1/0.0
ゴーゴージャグラー3,934,3422,-831,10,8,0,1/190.1,1/342.2,1/427.8,1/0.0
ゴーゴージャグラー3,935,8322,-1547,28,24,0,1/160.0,1/297.2,1/346.8,1/0.0
ゴーゴージャグラー3,936,8004,570,30,29,0,1/135.7,1/266.8,1/276.0,1/0.0
ゴーゴージャグラー3,937,7919,337,33,20,0,1/149.4,1/240.0,1/395.9,1/0.0
ゴーゴージャグラー3,938,8713,2395,40,37,0,1/113.2,1/217.8,1/235.5,1/0.0
ゴーゴージャグラー3,939,8550,2349,42,28,0,1/122.1,1/203.6,1/305.4,1/0.0
ゴーゴージャグラー3,940,7954,1465,35,29,0,1/124.3,1/227.3,1/274.3,1/0.0
スマスロ北斗の拳,291,4279,-1174,35,12,0,1/91.0,1/122.3,1/356.6,1/0.0
スマスロ北斗の拳,292,3785,3872,67,8,0,1/50.5,1/56.5,1/473.1,1/0.0
スマスロ北斗の拳,293,4191,-1930,29,9,0,1/110.3,1/144.5,1/465.7,1/0.0
スマスロ北斗の拳,294,5594,4430,91,21,0,1/49.9,1/61.5,1/266.4,1/0.0
スマスロ北斗の拳,295,4088,-3605,14,5,0,1/215.2,1/292.0,1/817.6,1/0.0
スマスロ北斗の拳,296,3039,-1512,23,6,0,1/104.8,1/132.1,1/506.5,1/0.0
