機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,2019,-1058,3,6,0,1/224.3,1/673.0,1/336.5,1/0.0
ネオアイムジャグラーEX,882,3762,-1384,7,13,0,1/188.1,1/537.4,1/289.4,1/0.0
ネオアイムジャグラーEX,883,2419,738,11,9,0,1/121.0,1/219.9,1/268.8,1/0.0
ネオアイムジャグラーEX,884,3771,686,16,14,0,1/125.7,1/235.7,1/269.4,1/0.0
ネオアイムジャグラーEX,885,168,-134,0,1,0,1/168.0,1/0.0,1/168.0,1/0.0
ネオアイムジャグラーEX,886,1982,773,11,7,0,1/110.1,1/180.2,1/283.1,1/0.0
ネオアイムジャグラーEX,887,1388,669,8,3,0,1/126.2,1/173.5,1/462.7,1/0.0
ネオアイムジャグラーEX,888,3022,-1174,8,4,0,1/251.8,1/377.8,1/755.5,1/0.0
ネオアイムジャグラーEX,889,2420,-669,7,5,0,1/201.7,1/345.7,1/484.0,1/0.0
ネオアイムジャグラーEX,890,3941,-541,14,10,0,1/164.2,1/281.5,1/394.1,1/0.0
ネオアイムジャグラーEX,891,5057,1930,26,15,0,1/123.3,1/194.5,1/337.1,1/0.0
ネオアイムジャグラーEX,892,2425,-401,8,4,0,1/202.1,1/303.1,1/606.2,1/0.0
ネオアイムジャグラーEX,893,1048,-110,4,1,0,1/209.6,1/262.0,1/1048.0,1/0.0
ネオアイムジャグラーEX,894,1717,-715,4,4,0,1/214.6,1/429.2,1/429.2,1/0.0
ネオアイムジャグラーEX,895,3472,390,14,8,0,1/157.8,1/248.0,1/434.0,1/0.0
ネオアイムジャグラーEX,896,1180,-180,4,1,0,1/236.0,1/295.0,1/1180.0,1/0.0
ネオアイムジャグラーEX,897,3696,-215,12,9,0,1/176.0,1/308.0,1/410.7,1/0.0
ネオアイムジャグラーEX,898,607,-576,0,1,0,1/607.0,1/0.0,1/607.0,1/0.0
ネオアイムジャグラーEX,899,1012,52,4,3,0,1/144.6,1/253.0,1/337.3,1/0.0
ネオアイムジャグラーEX,900,7549,2302,36,19,0,1/137.3,1/209.7,1/397.3,1/0.0
ネオアイムジャグラーEX,901,4266,988,20,9,0,1/147.1,1/213.3,1/474.0,1/0.0
ネオアイムジャグラーEX,902,582,-680,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ネオアイムジャグラーEX,903,2364,-640,5,8,0,1/181.8,1/472.8,1/295.5,1/0.0
ネオアイムジャグラーEX,904,1283,-820,2,3,0,1/256.6,1/641.5,1/427.7,1/0.0
ネオアイムジャグラーEX,905,6544,802,27,24,0,1/128.3,1/242.4,1/272.7,1/0.0
ネオアイムジャグラーEX,906,642,-331,1,2,0,1/214.0,1/642.0,1/321.0,1/0.0
ネオアイムジャグラーEX,907,2800,471,13,6,0,1/147.4,1/215.4,1/466.7,1/0.0
ネオアイムジャグラーEX,908,2251,203,10,4,0,1/160.8,1/225.1,1/562.8,1/0.0
ネオアイムジャグラーEX,909,2055,1337,15,2,0,1/120.9,1/137.0,1/1027.5,1/0.0
ネオアイムジャグラーEX,910,5603,1233,26,12,0,1/147.4,1/215.5,1/466.9,1/0.0
ネオアイムジャグラーEX,911,697,-494,1,1,0,1/348.5,1/697.0,1/697.0,1/0.0
ネオアイムジャグラーEX,912,1619,-750,3,6,0,1/179.9,1/539.7,1/269.8,1/0.0
ネオアイムジャグラーEX,913,971,-320,3,1,0,1/242.8,1/323.7,1/971.0,1/0.0
ネオアイムジャグラーEX,914,4165,872,18,12,0,1/138.8,1/231.4,1/347.1,1/0.0
ネオアイムジャグラーEX,915,2695,773,11,12,0,1/117.2,1/245.0,1/224.6,1/0.0
ネオアイムジャグラーEX,916,4344,593,18,15,0,1/131.6,1/241.3,1/289.6,1/0.0
ネオアイムジャグラーEX,917,1584,-1221,2,4,0,1/264.0,1/792.0,1/396.0,1/0.0
ネオアイムジャグラーEX,918,1709,-203,6,4,0,1/170.9,1/284.8,1/427.2,1/0.0
ネオアイムジャグラーEX,919,3431,2395,21,12,0,1/104.0,1/163.4,1/285.9,1/0.0
ネオアイムジャグラーEX,920,4336,320,19,10,0,1/149.5,1/228.2,1/433.6,1/0.0
ゴーゴージャグラー3,921,1883,-413,6,5,0,1/171.2,1/313.8,1/376.6,1/0.0
ゴーゴージャグラー3,922,504,-448,1,0,0,1/504.0,1/504.0,1/0.0,1/0.0
ゴーゴージャグラー3,923,1553,-343,6,2,0,1/194.1,1/258.8,1/776.5,1/0.0
ゴーゴージャグラー3,924,1959,0,8,5,0,1/150.7,1/244.9,1/391.8,1/0.0
ゴーゴージャグラー3,925,443,-227,1,1,0,1/221.5,1/443.0,1/443.0,1/0.0
ゴーゴージャグラー3,926,724,-529,1,2,0,1/241.3,1/724.0,1/362.0,1/0.0
ゴーゴージャグラー3,927,352,-262,1,0,0,1/352.0,1/352.0,1/0.0,1/0.0
ゴーゴージャグラー3,928,1261,-215,4,4,0,1/157.6,1/315.2,1/315.2,1/0.0
ゴーゴージャグラー3,929,1915,-308,6,6,0,1/159.6,1/319.2,1/319.2,1/0.0
ゴーゴージャグラー3,930,294,-413,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴーゴージャグラー3,931,1049,-297,2,4,0,1/174.8,1/524.5,1/262.2,1/0.0
ゴーゴージャグラー3,932,293,-297,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴーゴージャグラー3,933,4171,378,16,18,0,1/122.7,1/260.7,1/231.7,1/0.0
ゴーゴージャグラー3,934,165,-227,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴーゴージャグラー3,935,925,-471,2,3,0,1/185.0,1/462.5,1/308.3,1/0.0
ゴーゴージャグラー3,936,1164,-145,4,3,0,1/166.3,1/291.0,1/388.0,1/0.0
ゴーゴージャグラー3,937,224,-91,1,0,0,1/224.0,1/224.0,1/0.0,1/0.0
ゴーゴージャグラー3,938,6336,733,29,18,0,1/134.8,1/218.5,1/352.0,1/0.0
ゴーゴージャグラー3,939,900,413,5,2,0,1/128.6,1/180.0,1/450.0,1/0.0
ゴーゴージャグラー3,940,1630,-517,4,5,0,1/181.1,1/407.5,1/326.0,1/0.0
スマスロ北斗の拳,291,1033,-622,7,2,0,1/114.8,1/147.6,1/516.5,1/0.0
スマスロ北斗の拳,292,1130,715,19,3,0,1/51.4,1/59.5,1/376.7,1/0.0
スマスロ北斗の拳,293,816,-517,5,2,0,1/116.6,1/163.2,1/408.0,1/0.0
スマスロ北斗の拳,294,446,-517,2,1,0,1/148.7,1/223.0,1/446.0,1/0.0
スマスロ北斗の拳,295,586,-180,5,1,0,1/97.7,1/117.2,1/586.0,1/0.0
スマスロ北斗の拳,296,606,-645,2,1,0,1/202.0,1/303.0,1/606.0,1/0.0
スマスロ北斗の拳,297,528,-576,1,1,0,1/264.0,1/528.0,1/528.0,1/0.0
スマスロ北斗の拳,298,970,-680,6,2,0,1/121.2,1/161.7,1/485.0,1/0.0
スマスロ北斗の拳,299,1028,337,16,1,0,1/60.5,1/64.2,1/1028.0,1/0.0
スマスロ北斗の拳,300,978,1267,20,2,0,1/44.5,1/48.9,1/489.0,1/0.0
スマスロ北斗の拳,301,1739,122,21,4,0,1/69.6,1/82.8,1/434.8,1/0.0
スマスロ北斗の拳,302,655,715,12,3,0,1/43.7,1/54.6,1/218.3,1/0.0
スマスロ北斗の拳,303,196,-76,2,1,0,1/65.3,1/98.0,1/196.0,1/0.0
スマスロ北斗の拳,304,1364,-215,14,3,0,1/80.2,1/97.4,1/454.7,1/0.0
スマスロ北斗の拳,305,991,-1058,3,1,0,1/247.8,1/330.3,1/991.0,1/0.0
スマスロ北斗の拳,306,1672,-703,11,4,0,1/111.5,1/152.0,1/418.0,1/0.0
スマスロ北斗の拳,307,1511,-1244,5,2,0,1/215.9,1/302.2,1/755.5,1/0.0
スマスロ北斗の拳,308,912,-134,9,1,0,1/91.2,1/101.3,1/912.0,1/0.0
スマスロ北斗の拳,309,1102,-517,7,3,0,1/110.2,1/157.4,1/367.3,1/0.0
スマスロ北斗の拳,310,1437,477,20,2,0,1/65.3,1/71.8,1/718.5,1/0.0
ハナハナホウオウ～天翔～-30,641,3852,355,14,11,0,1/154.1,1/275.1,1/350.2,1/0.0
ハナハナホウオウ～天翔～-30,642,1294,506,8,0,0,1/161.8,1/161.8,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,643,360,-227,1,0,0,1/360.0,1/360.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,644,4032,547,14,14,0,1/144.0,1/288.0,1/288.0,1/0.0
ハナハナホウオウ～天翔～-30,645,148,-215,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,646,2512,541,12,6,0,1/139.6,1/209.3,1/418.7,1/0.0
ハナハナホウオウ～天翔～-30,647,243,-61,1,0,0,1/243.0,1/243.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,648,447,180,3,0,0,1/149.0,1/149.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,649,2449,-715,7,6,0,1/188.4,1/349.9,1/408.2,1/0.0
ハナハナホウオウ～天翔～-30,650,122,-180,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,671,632,-203,1,2,0,1/210.7,1/632.0,1/316.0,1/0.0
ハナハナホウオウ～天翔～-30,672,1819,76,7,3,0,1/181.9,1/259.9,1/606.3,1/0.0
ハナハナホウオウ～天翔～-30,673,1490,343,7,4,0,1/135.5,1/212.9,1/372.5,1/0.0
ハナハナホウオウ～天翔～-30,674,475,-74,2,0,0,1/237.5,1/237.5,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,675,2543,-1802,2,7,0,1/282.6,1/1271.5,1/363.3,1/0.0
