機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,7916,407,28,28,0,1/141.4,1/282.7,1/282.7,1/0.0
ネオアイムジャグラーEX,882,5600,2256,29,17,0,1/121.7,1/193.1,1/329.4,1/0.0
ネオアイムジャグラーEX,883,5518,919,23,17,0,1/137.9,1/239.9,1/324.6,1/0.0
ネオアイムジャグラーEX,884,2918,-215,8,11,0,1/153.6,1/364.8,1/265.3,1/0.0
ネオアイムジャグラーEX,885,5616,1151,22,23,0,1/124.8,1/255.3,1/244.2,1/0.0
ネオアイムジャグラーEX,886,2189,-471,7,6,0,1/168.4,1/312.7,1/364.8,1/0.0
ネオアイムジャグラーEX,887,4436,-17,15,14,0,1/153.0,1/295.7,1/316.9,1/0.0
ネオアイムジャグラーEX,888,3269,-878,9,7,0,1/204.3,1/363.2,1/467.0,1/0.0
ネオアイムジャグラーEX,889,2138,-471,6,6,0,1/178.2,1/356.3,1/356.3,1/0.0
ネオアイムジャグラーEX,890,6531,174,18,32,0,1/130.6,1/362.8,1/204.1,1/0.0
ネオアイムジャグラーEX,891,1326,-1267,0,2,0,1/663.0,1/0.0,1/663.0,1/0.0
ネオアイムジャグラーEX,892,3996,-1663,12,7,0,1/210.3,1/333.0,1/570.9,1/0.0
ネオアイムジャグラーEX,893,3295,-622,11,9,0,1/164.8,1/299.5,1/366.1,1/0.0
ネオアイムジャグラーEX,894,4570,-785,15,11,0,1/175.8,1/304.7,1/415.5,1/0.0
ネオアイムジャグラーEX,895,6120,3186,36,16,0,1/117.7,1/170.0,1/382.5,1/0.0
ネオアイムジャグラーEX,896,1261,-262,4,2,0,1/210.2,1/315.2,1/630.5,1/0.0
ネオアイムジャグラーEX,897,7907,-29,29,27,0,1/141.2,1/272.7,1/292.9,1/0.0
ネオアイムジャグラーEX,898,7379,424,26,29,0,1/134.2,1/283.8,1/254.4,1/0.0
ネオアイムジャグラーEX,899,4205,-715,14,9,0,1/182.8,1/300.4,1/467.2,1/0.0
