機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,5655,1198,23,24,0,1/120.3,1/245.9,1/235.6,1/0.0
ネオアイムジャグラーEX,882,3982,-424,11,15,0,1/153.2,1/362.0,1/265.5,1/0.0
ネオアイムジャグラーEX,883,2496,-1291,4,9,0,1/192.0,1/624.0,1/277.3,1/0.0
ネオアイムジャグラーEX,884,4609,-262,18,12,0,1/153.6,1/256.1,1/384.1,1/0.0
ネオアイムジャグラーEX,885,4168,-634,14,13,0,1/154.4,1/297.7,1/320.6,1/0.0
ネオアイムジャグラーEX,886,4182,-320,14,15,0,1/144.2,1/298.7,1/278.8,1/0.0
ネオアイムジャグラーEX,887,2367,331,10,5,0,1/157.8,1/236.7,1/473.4,1/0.0
ネオアイムジャグラーEX,888,1907,145,7,7,0,1/136.2,1/272.4,1/272.4,1/0.0
ネオアイムジャグラーEX,889,6162,2535,33,19,0,1/118.5,1/186.7,1/324.3,1/0.0
ネオアイムジャグラーEX,890,4771,-273,15,20,0,1/136.3,1/318.1,1/238.6,1/0.0
ネオアイムジャグラーEX,891,1070,-820,1,2,0,1/356.7,1/1070.0,1/535.0,1/0.0
ネオアイムジャグラーEX,892,6282,3093,32,23,0,1/114.2,1/196.3,1/273.1,1/0.0
ネオアイムジャグラーEX,893,1339,-599,3,3,0,1/223.2,1/446.3,1/446.3,1/0.0
ネオアイムジャグラーEX,894,6903,99,28,19,0,1/146.9,1/246.5,1/363.3,1/0.0
ネオアイムジャグラーEX,895,1209,-29,6,1,0,1/172.7,1/201.5,1/1209.0,1/0.0
ネオアイムジャグラーEX,896,5557,-99,21,15,0,1/154.4,1/264.6,1/370.5,1/0.0
ネオアイムジャグラーEX,897,3463,500,16,8,0,1/144.3,1/216.4,1/432.9,1/0.0
ネオアイムジャグラーEX,898,6059,2488,29,26,0,1/110.2,1/208.9,1/233.0,1/0.0
ネオアイムジャグラーEX,899,549,-64,2,0,0,1/274.5,1/274.5,1/0.0,1/0.0
ネオアイムジャグラーEX,900,4497,640,21,12,0,1/136.3,1/214.1,1/374.8,1/0.0
