機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,2356,-448,8,3,0,1/214.2,1/294.5,1/785.3,1/0.0
ネオアイムジャグラーEX,882,3073,-715,10,6,0,1/192.1,1/307.3,1/512.2,1/0.0
ネオアイムジャグラーEX,883,2690,552,13,7,0,1/134.5,1/206.9,1/384.3,1/0.0
ネオアイムジャグラーEX,884,2367,-878,6,6,0,1/197.2,1/394.5,1/394.5,1/0.0
ネオアイムジャグラーEX,885,3210,-1012,9,6,0,1/214.0,1/356.7,1/535.0,1/0.0
ネオアイムジャグラーEX,886,1490,-285,6,1,0,1/212.9,1/248.3,1/1490.0,1/0.0
ネオアイムジャグラーEX,887,2719,-1128,6,5,0,1/247.2,1/453.2,1/543.8,1/0.0
ネオアイムジャグラーEX,888,4298,529,19,12,0,1/138.6,1/226.2,1/358.2,1/0.0
ネオアイムジャグラーEX,889,683,-529,1,0,0,1/683.0,1/683.0,1/0.0,1/0.0
ネオアイムジャグラーEX,890,1451,-76,5,5,0,1/145.1,1/290.2,1/290.2,1/0.0
ネオアイムジャグラーEX,891,4254,-320,16,10,0,1/163.6,1/265.9,1/425.4,1/0.0
ネオアイムジャグラーEX,892,3259,221,15,5,0,1/162.9,1/217.3,1/651.8,1/0.0
ネオアイムジャグラーEX,893,2658,936,14,7,0,1/126.6,1/189.9,1/379.7,1/0.0
ネオアイムジャグラーEX,894,350,-238,1,0,0,1/350.0,1/350.0,1/0.0,1/0.0
ネオアイムジャグラーEX,895,8079,965,30,32,0,1/130.3,1/269.3,1/252.5,1/0.0
ネオアイムジャグラーEX,896,157,-145,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ネオアイムジャグラーEX,897,6624,500,25,27,0,1/127.4,1/265.0,1/245.3,1/0.0
ネオアイムジャグラーEX,898,772,-250,3,0,0,1/257.3,1/257.3,1/0.0,1/0.0
ネオアイムジャグラーEX,899,4459,-506,15,12,0,1/165.1,1/297.3,1/371.6,1/0.0
ネオアイムジャグラーEX,900,2322,-820,5,5,0,1/232.2,1/464.4,1/464.4,1/0.0
ネオアイムジャグラーEX,901,4254,297,19,6,0,1/170.2,1/223.9,1/709.0,1/0.0
ネオアイムジャグラーEX,902,4587,2302,28,10,0,1/120.7,1/163.8,1/458.7,1/0.0
ネオアイムジャグラーEX,903,4347,890,18,13,0,1/140.2,1/241.5,1/334.4,1/0.0
ネオアイムジャグラーEX,904,669,-331,2,1,0,1/223.0,1/334.5,1/669.0,1/0.0
ネオアイムジャグラーEX,905,5493,157,22,11,0,1/166.5,1/249.7,1/499.4,1/0.0
ネオアイムジャグラーEX,906,1118,-87,5,1,0,1/186.3,1/223.6,1/1118.0,1/0.0
ネオアイムジャグラーEX,907,4420,-273,15,14,0,1/152.4,1/294.7,1/315.7,1/0.0
ネオアイムジャグラーEX,908,1294,-797,2,1,0,1/431.3,1/647.0,1/1294.0,1/0.0
ネオアイムジャグラーEX,909,2079,-866,4,6,0,1/207.9,1/519.8,1/346.5,1/0.0
ネオアイムジャグラーEX,910,6389,-192,19,28,0,1/135.9,1/336.3,1/228.2,1/0.0
ネオアイムジャグラーEX,911,1371,-366,5,0,0,1/274.2,1/274.2,1/0.0,1/0.0
ネオアイムジャグラーEX,912,3227,727,15,8,0,1/140.3,1/215.1,1/403.4,1/0.0
ネオアイムジャグラーEX,913,1719,-145,6,4,0,1/171.9,1/286.5,1/429.8,1/0.0
ネオアイムジャグラーEX,914,2562,-773,9,2,0,1/232.9,1/284.7,1/1281.0,1/0.0
ネオアイムジャグラーEX,915,1420,-948,3,1,0,1/355.0,1/473.3,1/1420.0,1/0.0
ネオアイムジャグラーEX,916,2522,-756,8,3,0,1/229.3,1/315.2,1/840.7,1/0.0
ネオアイムジャグラーEX,917,1221,-378,4,0,0,1/305.2,1/305.2,1/0.0,1/0.0
ネオアイムジャグラーEX,918,2982,634,14,7,0,1/142.0,1/213.0,1/426.0,1/0.0
ネオアイムジャグラーEX,919,3177,-366,10,9,0,1/167.2,1/317.7,1/353.0,1/0.0
ネオアイムジャグラーEX,920,2820,-1221,7,3,0,1/282.0,1/402.9,1/940.0,1/0.0
ゴーゴージャグラー3,921,2208,-634,8,2,0,1/220.8,1/276.0,1/1104.0,1/0.0
ゴーゴージャグラー3,922,1267,-17,5,1,0,1/211.2,1/253.4,1/1267.0,1/0.0
ゴーゴージャグラー3,923,1331,-448,4,4,0,1/166.4,1/332.8,1/332.8,1/0.0
ゴーゴージャグラー3,924,2178,-808,5,5,0,1/217.8,1/435.6,1/435.6,1/0.0
ゴーゴージャグラー3,925,2098,-378,7,6,0,1/161.4,1/299.7,1/349.7,1/0.0
ゴーゴージャグラー3,926,316,-401,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴーゴージャグラー3,927,567,-285,1,2,0,1/189.0,1/567.0,1/283.5,1/0.0
ゴーゴージャグラー3,928,3523,1174,15,20,0,1/100.7,1/234.9,1/176.2,1/0.0
ゴーゴージャグラー3,929,733,-390,1,2,0,1/244.3,1/733.0,1/366.5,1/0.0
ゴーゴージャグラー3,930,1297,-134,5,3,0,1/162.1,1/259.4,1/432.3,1/0.0
ゴーゴージャグラー3,931,5334,1942,28,20,0,1/111.1,1/190.5,1/266.7,1/0.0
ゴーゴージャグラー3,932,186,-203,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴーゴージャグラー3,933,2496,-494,8,5,0,1/192.0,1/312.0,1/499.2,1/0.0
ゴーゴージャグラー3,934,896,-238,3,2,0,1/179.2,1/298.7,1/448.0,1/0.0
ゴーゴージャグラー3,935,4784,-244,18,14,0,1/149.5,1/265.8,1/341.7,1/0.0
ゴーゴージャグラー3,936,514,-64,2,0,0,1/257.0,1/257.0,1/0.0,1/0.0
ゴーゴージャグラー3,937,2317,-564,7,5,0,1/193.1,1/331.0,1/463.4,1/0.0
ゴーゴージャグラー3,938,1843,52,8,4,0,1/153.6,1/230.4,1/460.8,1/0.0
ゴーゴージャグラー3,939,211,-262,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴーゴージャグラー3,940,5904,-1035,20,19,0,1/151.4,1/295.2,1/310.7,1/0.0
スマスロ北斗の拳,291,1537,-610,11,5,0,1/96.1,1/139.7,1/307.4,1/0.0
スマスロ北斗の拳,292,1167,-610,7,3,0,1/116.7,1/166.7,1/389.0,1/0.0
スマスロ北斗の拳,293,582,-634,2,1,0,1/194.0,1/291.0,1/582.0,1/0.0
