機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,3126,-1872,5,4,0,1/347.3,1/625.2,1/781.5,1/0.0
ネオアイムジャグラーEX,882,1749,-448,5,2,0,1/249.9,1/349.8,1/874.5,1/0.0
ネオアイムジャグラーEX,883,3790,-390,12,11,0,1/164.8,1/315.8,1/344.5,1/0.0
ネオアイムジャグラーEX,884,691,273,4,1,0,1/138.2,1/172.8,1/691.0,1/0.0
ネオアイムジャグラーEX,885,947,-413,2,2,0,1/236.8,1/473.5,1/473.5,1/0.0
ネオアイムジャグラーEX,886,416,-587,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ネオアイムジャグラーEX,887,2903,-52,12,6,0,1/161.3,1/241.9,1/483.8,1/0.0
ネオアイムジャグラーEX,888,5812,-413,20,15,0,1/166.1,1/290.6,1/387.5,1/0.0
ネオアイムジャグラーEX,889,962,-41,4,1,0,1/192.4,1/240.5,1/962.0,1/0.0
ネオアイムジャグラーEX,890,1363,-610,3,3,0,1/227.2,1/454.3,1/454.3,1/0.0
ネオアイムジャグラーEX,891,634,41,3,0,0,1/211.3,1/211.3,1/0.0,1/0.0
ネオアイムジャグラーEX,892,913,-948,1,0,0,1/913.0,1/913.0,1/0.0,1/0.0
ネオアイムジャグラーEX,893,969,-448,3,1,0,1/242.2,1/323.0,1/969.0,1/0.0
ネオアイムジャグラーEX,894,386,-262,1,0,0,1/386.0,1/386.0,1/0.0,1/0.0
ネオアイムジャグラーEX,895,547,-110,2,0,0,1/273.5,1/273.5,1/0.0,1/0.0
ネオアイムジャグラーEX,896,2954,1698,17,11,0,1/105.5,1/173.8,1/268.5,1/0.0
ネオアイムジャグラーEX,897,627,41,3,1,0,1/156.8,1/209.0,1/627.0,1/0.0
ネオアイムジャグラーEX,898,2611,-134,10,5,0,1/174.1,1/261.1,1/522.2,1/0.0
ネオアイムジャグラーEX,899,617,-401,1,1,0,1/308.5,1/617.0,1/617.0,1/0.0
ネオアイムジャグラーEX,900,3129,-1198,7,10,0,1/184.1,1/447.0,1/312.9,1/0.0
ネオアイムジャグラーEX,901,1512,169,7,2,0,1/168.0,1/216.0,1/756.0,1/0.0
ネオアイムジャグラーEX,902,763,-657,0,2,0,1/381.5,1/0.0,1/381.5,1/0.0
ネオアイムジャグラーEX,903,1497,-1198,1,4,0,1/299.4,1/1497.0,1/374.2,1/0.0
ネオアイムジャグラーEX,904,3542,-145,13,7,0,1/177.1,1/272.5,1/506.0,1/0.0
ネオアイムジャグラーEX,905,609,-122,1,3,0,1/152.2,1/609.0,1/203.0,1/0.0
ネオアイムジャグラーEX,906,375,-517,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ネオアイムジャグラーEX,907,820,-308,2,2,0,1/205.0,1/410.0,1/410.0,1/0.0
ネオアイムジャグラーEX,908,1793,64,7,5,0,1/149.4,1/256.1,1/358.6,1/0.0
ネオアイムジャグラーEX,909,3399,1035,17,9,0,1/130.7,1/199.9,1/377.7,1/0.0
ネオアイムジャグラーEX,910,762,-634,1,1,0,1/381.0,1/762.0,1/762.0,1/0.0
ネオアイムジャグラーEX,911,2870,-750,9,8,0,1/168.8,1/318.9,1/358.8,1/0.0
ネオアイムジャグラーEX,912,469,-227,1,1,0,1/234.5,1/469.0,1/469.0,1/0.0
ネオアイムジャグラーEX,913,925,41,4,2,0,1/154.2,1/231.2,1/462.5,1/0.0
ネオアイムジャグラーEX,914,537,-378,1,1,0,1/268.5,1/537.0,1/537.0,1/0.0
ネオアイムジャグラーEX,915,486,-17,2,0,0,1/243.0,1/243.0,1/0.0,1/0.0
ネオアイムジャグラーEX,916,4617,2302,23,16,0,1/118.4,1/200.7,1/288.6,1/0.0
ネオアイムジャグラーEX,917,94,-169,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ネオアイムジャグラーEX,918,352,-343,0,1,0,1/352.0,1/0.0,1/352.0,1/0.0
ネオアイムジャグラーEX,919,4182,407,16,14,0,1/139.4,1/261.4,1/298.7,1/0.0
ネオアイムジャグラーEX,920,3552,1151,19,8,0,1/131.6,1/186.9,1/444.0,1/0.0
ゴーゴージャグラー3,921,1433,401,9,1,0,1/143.3,1/159.2,1/1433.0,1/0.0
ゴーゴージャグラー3,922,4519,2070,24,20,0,1/102.7,1/188.3,1/225.9,1/0.0
ゴーゴージャグラー3,923,257,-343,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴーゴージャグラー3,924,4748,1058,20,16,0,1/131.9,1/237.4,1/296.8,1/0.0
