機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
アイムジャグラーEX-TP,881,2712,-471,8,8,0,1/169.5,1/339.0,1/339.0,1/0.0
アイムジャグラーEX-TP,882,858,-157,3,1,0,1/214.5,1/286.0,1/858.0,1/0.0
アイムジャグラーEX-TP,883,254,-180,1,0,0,1/254.0,1/254.0,1/0.0,1/0.0
アイムジャグラーEX-TP,884,2726,-87,9,10,0,1/143.5,1/302.9,1/272.6,1/0.0
アイムジャグラーEX-TP,885,1066,76,5,1,0,1/177.7,1/213.2,1/1066.0,1/0.0
アイムジャグラーEX-TP,886,1100,-610,2,2,0,1/275.0,1/550.0,1/550.0,1/0.0
アイムジャグラーEX-TP,887,187,-250,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,888,2427,-390,9,4,0,1/186.7,1/269.7,1/606.8,1/0.0
アイムジャグラーEX-TP,889,130,-157,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,890,1898,52,9,2,0,1/172.5,1/210.9,1/949.0,1/0.0
アイムジャグラーEX-TP,891,933,-390,2,3,0,1/186.6,1/466.5,1/311.0,1/0.0
アイムジャグラーEX-TP,892,481,-297,1,0,0,1/481.0,1/481.0,1/0.0,1/0.0
アイムジャグラーEX-TP,893,275,506,3,1,0,1/68.8,1/91.7,1/275.0,1/0.0
アイムジャグラーEX-TP,894,1760,-76,7,3,0,1/176.0,1/251.4,1/586.7,1/0.0
アイムジャグラーEX-TP,895,6515,2070,33,18,0,1/127.7,1/197.4,1/361.9,1/0.0
アイムジャグラーEX-TP,896,431,-459,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,897,1667,-320,5,4,0,1/185.2,1/333.4,1/416.8,1/0.0
アイムジャグラーEX-TP,898,1209,-203,4,3,0,1/172.7,1/302.2,1/403.0,1/0.0
アイムジャグラーEX-TP,899,1960,988,10,9,0,1/103.2,1/196.0,1/217.8,1/0.0
アイムジャグラーEX-TP,900,2345,331,10,6,0,1/146.6,1/234.5,1/390.8,1/0.0
アイムジャグラーEX-TP,901,1263,-273,4,2,0,1/210.5,1/315.8,1/631.5,1/0.0
アイムジャグラーEX-TP,902,746,-331,2,1,0,1/248.7,1/373.0,1/746.0,1/0.0
アイムジャグラーEX-TP,903,1535,762,10,1,0,1/139.5,1/153.5,1/1535.0,1/0.0
アイムジャグラーEX-TP,904,661,-634,0,2,0,1/330.5,1/0.0,1/330.5,1/0.0
アイムジャグラーEX-TP,905,1375,-1058,2,2,0,1/343.8,1/687.5,1/687.5,1/0.0
アイムジャグラーEX-TP,906,268,-308,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,907,170,-192,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,908,1610,343,6,7,0,1/123.8,1/268.3,1/230.0,1/0.0
アイムジャグラーEX-TP,909,230,-5,1,0,0,1/230.0,1/230.0,1/0.0,1/0.0
アイムジャグラーEX-TP,910,239,-355,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,911,3412,686,18,7,0,1/136.5,1/189.6,1/487.4,1/0.0
アイムジャグラーEX-TP,912,1362,-401,3,4,0,1/194.6,1/454.0,1/340.5,1/0.0
アイムジャグラーEX-TP,913,1180,-227,5,2,0,1/168.6,1/236.0,1/590.0,1/0.0
アイムジャグラーEX-TP,914,521,-262,1,2,0,1/173.7,1/521.0,1/260.5,1/0.0
アイムジャグラーEX-TP,915,2293,-1012,5,5,0,1/229.3,1/458.6,1/458.6,1/0.0
アイムジャグラーEX-TP,916,1942,-250,6,5,0,1/176.5,1/323.7,1/388.4,1/0.0
アイムジャグラーEX-TP,917,535,-459,1,0,0,1/535.0,1/535.0,1/0.0,1/0.0
アイムジャグラーEX-TP,918,708,-320,2,1,0,1/236.0,1/354.0,1/708.0,1/0.0
アイムジャグラーEX-TP,919,374,-506,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,920,4130,477,18,13,0,1/133.2,1/229.4,1/317.7,1/0.0
ゴーゴージャグラー3,921,2519,-413,9,5,0,1/179.9,1/279.9,1/503.8,1/0.0
ゴーゴージャグラー3,922,1282,-1035,1,2,0,1/427.3,1/1282.0,1/641.0,1/0.0
ゴーゴージャグラー3,923,1005,471,7,1,0,1/125.6,1/143.6,1/1005.0,1/0.0
ゴーゴージャグラー3,924,2835,872,15,9,0,1/118.1,1/189.0,1/315.0,1/0.0
ゴーゴージャグラー3,925,6179,1733,31,25,0,1/110.3,1/199.3,1/247.2,1/0.0
ゴーゴージャグラー3,926,195,-250,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
