機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
アイムジャグラーEX-TP,881,1200,-657,3,1,0,1/300.0,1/400.0,1/1200.0,1/0.0
アイムジャグラーEX-TP,882,2369,-640,7,4,0,1/215.4,1/338.4,1/592.2,1/0.0
アイムジャグラーEX-TP,883,316,-494,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,884,1889,936,10,7,0,1/111.1,1/188.9,1/269.9,1/0.0
アイムジャグラーEX-TP,885,852,-238,3,1,0,1/213.0,1/284.0,1/852.0,1/0.0
アイムジャグラーEX-TP,886,1069,41,4,2,0,1/178.2,1/267.2,1/534.5,1/0.0
アイムジャグラーEX-TP,887,1686,919,10,4,0,1/120.4,1/168.6,1/421.5,1/0.0
アイムジャグラーEX-TP,888,389,-471,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,889,2042,-413,7,4,0,1/185.6,1/291.7,1/510.5,1/0.0
アイムジャグラーEX-TP,890,2501,-320,7,10,0,1/147.1,1/357.3,1/250.1,1/0.0
アイムジャグラーEX-TP,891,688,-576,1,1,0,1/344.0,1/688.0,1/688.0,1/0.0
アイムジャグラーEX-TP,892,1076,-576,1,2,0,1/358.7,1/1076.0,1/538.0,1/0.0
アイムジャグラーEX-TP,893,2854,41,9,12,0,1/135.9,1/317.1,1/237.8,1/0.0
アイムジャグラーEX-TP,894,815,-110,2,2,0,1/203.8,1/407.5,1/407.5,1/0.0
アイムジャグラーEX-TP,895,3781,35,13,13,0,1/145.4,1/290.8,1/290.8,1/0.0
アイムジャグラーEX-TP,896,1090,-401,3,2,0,1/218.0,1/363.3,1/545.0,1/0.0
アイムジャグラーEX-TP,897,836,215,4,2,0,1/139.3,1/209.0,1/418.0,1/0.0
アイムジャグラーEX-TP,898,3867,1291,21,8,0,1/133.3,1/184.1,1/483.4,1/0.0
アイムジャグラーEX-TP,899,1796,517,8,5,0,1/138.2,1/224.5,1/359.2,1/0.0
アイムジャグラーEX-TP,900,2269,-692,7,4,0,1/206.3,1/324.1,1/567.2,1/0.0
