機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,9273,1791,37,40,0,1/120.4,1/250.6,1/231.8,1/0.0
ネオアイムジャグラーEX,882,7252,-756,22,24,0,1/157.7,1/329.6,1/302.2,1/0.0
ネオアイムジャグラーEX,883,6441,-262,25,16,0,1/157.1,1/257.6,1/402.6,1/0.0
ネオアイムジャグラーEX,884,6195,-1453,19,15,0,1/182.2,1/326.1,1/413.0,1/0.0
ネオアイムジャグラーEX,885,7279,1791,34,23,0,1/127.7,1/214.1,1/316.5,1/0.0
ネオアイムジャグラーEX,886,8184,634,32,26,0,1/141.1,1/255.8,1/314.8,1/0.0
ネオアイムジャグラーEX,887,8015,-988,25,26,0,1/157.2,1/320.6,1/308.3,1/0.0
ネオアイムジャグラーEX,888,4258,-738,13,11,0,1/177.4,1/327.5,1/387.1,1/0.0
ネオアイムジャグラーEX,889,6289,988,26,17,0,1/146.3,1/241.9,1/369.9,1/0.0
ネオアイムジャグラーEX,890,8236,2488,41,26,0,1/122.9,1/200.9,1/316.8,1/0.0
ネオアイムジャグラーEX,891,2376,-820,6,5,0,1/216.0,1/396.0,1/475.2,1/0.0
ネオアイムジャグラーEX,892,6262,942,25,19,0,1/142.3,1/250.5,1/329.6,1/0.0
ネオアイムジャグラーEX,893,7539,3523,37,36,0,1/103.3,1/203.8,1/209.4,1/0.0
ネオアイムジャグラーEX,894,8413,-570,26,29,0,1/153.0,1/323.6,1/290.1,1/0.0
ネオアイムジャグラーEX,895,4743,-1221,15,8,0,1/206.2,1/316.2,1/592.9,1/0.0
ネオアイムジャグラーEX,896,3710,-1477,8,11,0,1/195.3,1/463.8,1/337.3,1/0.0
ネオアイムジャグラーEX,897,5289,-849,17,14,0,1/170.6,1/311.1,1/377.8,1/0.0
ネオアイムジャグラーEX,898,7256,1291,29,29,0,1/125.1,1/250.2,1/250.2,1/0.0
ネオアイムジャグラーEX,899,8985,-1012,31,23,0,1/166.4,1/289.8,1/390.7,1/0.0
ネオアイムジャグラーEX,900,6545,-855,22,19,0,1/159.6,1/297.5,1/344.5,1/0.0
ネオアイムジャグラーEX,901,6480,1453,30,17,0,1/137.9,1/216.0,1/381.2,1/0.0
ネオアイムジャグラーEX,902,6856,663,28,23,0,1/134.4,1/244.9,1/298.1,1/0.0
ネオアイムジャグラーEX,903,3506,-849,11,9,0,1/175.3,1/318.7,1/389.6,1/0.0
ネオアイムジャグラーEX,904,6709,1698,28,24,0,1/129.0,1/239.6,1/279.5,1/0.0
ネオアイムジャグラーEX,905,2384,-773,8,3,0,1/216.7,1/298.0,1/794.7,1/0.0
ネオアイムジャグラーEX,906,8619,2395,35,39,0,1/116.5,1/246.3,1/221.0,1/0.0
ネオアイムジャグラーEX,907,8246,1791,34,29,0,1/130.9,1/242.5,1/284.3,1/0.0
ネオアイムジャグラーEX,908,2998,-1872,4,9,0,1/230.6,1/749.5,1/333.1,1/0.0
ネオアイムジャグラーEX,909,7111,1430,35,16,0,1/139.4,1/203.2,1/444.4,1/0.0
ネオアイムジャグラーEX,910,6240,1570,30,18,0,1/130.0,1/208.0,1/346.7,1/0.0
ネオアイムジャグラーEX,911,5526,35,22,13,0,1/157.9,1/251.2,1/425.1,1/0.0
ネオアイムジャグラーEX,912,8416,1128,34,32,0,1/127.5,1/247.5,1/263.0,1/0.0
ネオアイムジャグラーEX,913,5487,-169,18,16,0,1/161.4,1/304.8,1/342.9,1/0.0
ネオアイムジャグラーEX,914,4994,-942,17,11,0,1/178.4,1/293.8,1/454.0,1/0.0
ネオアイムジャグラーEX,915,7559,-895,26,21,0,1/160.8,1/290.7,1/360.0,1/0.0
ネオアイムジャグラーEX,916,6229,-1267,19,13,0,1/194.7,1/327.8,1/479.2,1/0.0
ネオアイムジャグラーEX,917,7091,-407,25,24,0,1/144.7,1/283.6,1/295.5,1/0.0
ネオアイムジャグラーEX,918,4654,-564,15,17,0,1/145.4,1/310.3,1/273.8,1/0.0
ネオアイムジャグラーEX,919,6885,826,30,17,0,1/146.5,1/229.5,1/405.0,1/0.0
ネオアイムジャグラーEX,920,7685,2581,38,25,0,1/122.0,1/202.2,1/307.4,1/0.0
ゴーゴージャグラー3,921,8867,709,31,39,0,1/126.7,1/286.0,1/227.4,1/0.0
ゴーゴージャグラー3,922,3838,331,16,11,0,1/142.1,1/239.9,1/348.9,1/0.0
ゴーゴージャグラー3,923,9123,2070,33,51,0,1/108.6,1/276.5,1/178.9,1/0.0
ゴーゴージャグラー3,924,1658,-1058,3,4,0,1/236.9,1/552.7,1/414.5,1/0.0
ゴーゴージャグラー3,925,6569,267,25,22,0,1/139.8,1/262.8,1/298.6,1/0.0
ゴーゴージャグラー3,926,5834,-552,19,21,0,1/145.8,1/307.1,1/277.8,1/0.0
ゴーゴージャグラー3,927,6181,436,26,21,0,1/131.5,1/237.7,1/294.3,1/0.0
ゴーゴージャグラー3,928,1339,-529,3,3,0,1/223.2,1/446.3,1/446.3,1/0.0
ゴーゴージャグラー3,929,8800,-1651,24,39,0,1/139.7,1/366.7,1/225.6,1/0.0
ゴーゴージャグラー3,930,2536,-1267,5,6,0,1/230.5,1/507.2,1/422.7,1/0.0
ゴーゴージャグラー3,931,7047,1465,30,27,0,1/123.6,1/234.9,1/261.0,1/0.0
ゴーゴージャグラー3,932,2889,-541,10,7,0,1/169.9,1/288.9,1/412.7,1/0.0
ゴーゴージャグラー3,933,7986,1198,34,30,0,1/124.8,1/234.9,1/266.2,1/0.0
ゴーゴージャグラー3,934,8222,2767,41,31,0,1/114.2,1/200.5,1/265.2,1/0.0
ゴーゴージャグラー3,935,6313,1035,30,19,0,1/128.8,1/210.4,1/332.3,1/0.0
ゴーゴージャグラー3,936,3676,-640,13,8,0,1/175.0,1/282.8,1/459.5,1/0.0
ゴーゴージャグラー3,937,8169,3093,40,40,0,1/102.1,1/204.2,1/204.2,1/0.0
ゴーゴージャグラー3,938,3444,320,14,11,0,1/137.8,1/246.0,1/313.1,1/0.0
ゴーゴージャグラー3,939,6834,1791,28,33,0,1/112.0,1/244.1,1/207.1,1/0.0
ゴーゴージャグラー3,940,5043,215,21,15,0,1/140.1,1/240.1,1/336.2,1/0.0
スマスロ北斗の拳,291,6163,-709,63,19,0,1/75.2,1/97.8,1/324.4,1/0.0
スマスロ北斗の拳,292,1659,-1360,7,3,0,1/165.9,1/237.0,1/553.0,1/0.0
スマスロ北斗の拳,293,6074,1547,76,21,0,1/62.6,1/79.9,1/289.2,1/0.0
スマスロ北斗の拳,294,2487,99,26,5,0,1/80.2,1/95.7,1/497.4,1/0.0
スマスロ北斗の拳,295,1681,4500,56,5,0,1/27.6,1/30.0,1/336.2,1/0.0
スマスロ北斗の拳,296,2344,1081,30,9,0,1/60.1,1/78.1,1/260.4,1/0.0
スマスロ北斗の拳,297,2585,-570,22,5,0,1/95.7,1/117.5,1/517.0,1/0.0
スマスロ北斗の拳,298,764,-517,3,1,0,1/191.0,1/254.7,1/764.0,1/0.0
スマスロ北斗の拳,299,1548,727,22,4,0,1/59.5,1/70.4,1/387.0,1/0.0
スマスロ北斗の拳,300,2658,4709,64,7,0,1/37.4,1/41.5,1/379.7,1/0.0
スマスロ北斗の拳,301,2310,-1360,18,4,0,1/105.0,1/128.3,1/577.5,1/0.0
スマスロ北斗の拳,302,1891,-640,16,4,0,1/94.5,1/118.2,1/472.8,1/0.0
スマスロ北斗の拳,303,3780,-1849,26,8,0,1/111.2,1/145.4,1/472.5,1/0.0
スマスロ北斗の拳,304,1118,-965,4,1,0,1/223.6,1/279.5,1/1118.0,1/0.0
スマスロ北斗の拳,305,1826,-988,11,4,0,1/121.7,1/166.0,1/456.5,1/0.0
スマスロ北斗の拳,306,2072,-174,19,8,0,1/76.7,1/109.1,1/259.0,1/0.0
スマスロ北斗の拳,307,7059,-1326,64,18,0,1/86.1,1/110.3,1/392.2,1/0.0
スマスロ北斗の拳,308,1098,756,18,1,0,1/57.8,1/61.0,1/1098.0,1/0.0
スマスロ北斗の拳,309,2144,-1035,16,4,0,1/107.2,1/134.0,1/536.0,1/0.0
スマスロ北斗の拳,310,5919,-1930,46,18,0,1/92.5,1/128.7,1/328.8,1/0.0
