機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,4850,-1942,11,13,0,1/202.1,1/440.9,1/373.1,1/0.0
ネオアイムジャグラーEX,882,5265,29,18,20,0,1/138.6,1/292.5,1/263.2,1/0.0
ネオアイムジャグラーEX,883,3288,-1593,5,12,0,1/193.4,1/657.6,1/274.0,1/0.0
ネオアイムジャグラーEX,884,3295,1314,16,15,0,1/106.3,1/205.9,1/219.7,1/0.0
ネオアイムジャグラーEX,885,3840,250,16,10,0,1/147.7,1/240.0,1/384.0,1/0.0
ネオアイムジャグラーEX,886,1786,-1058,3,5,0,1/223.2,1/595.3,1/357.2,1/0.0
ネオアイムジャグラーEX,887,2938,1314,17,6,0,1/127.7,1/172.8,1/489.7,1/0.0
ネオアイムジャグラーEX,888,4499,-134,16,16,0,1/140.6,1/281.2,1/281.2,1/0.0
ネオアイムジャグラーEX,889,797,-773,1,0,0,1/797.0,1/797.0,1/0.0,1/0.0
ネオアイムジャグラーEX,890,4286,-1105,13,11,0,1/178.6,1/329.7,1/389.6,1/0.0
ネオアイムジャグラーEX,891,2103,-576,7,4,0,1/191.2,1/300.4,1/525.8,1/0.0
ネオアイムジャグラーEX,892,6217,-750,19,25,0,1/141.3,1/327.2,1/248.7,1/0.0
ネオアイムジャグラーEX,893,2610,-1314,4,9,0,1/200.8,1/652.5,1/290.0,1/0.0
ネオアイムジャグラーEX,894,1515,-773,4,2,0,1/252.5,1/378.8,1/757.5,1/0.0
ネオアイムジャグラーEX,895,3059,-1407,6,7,0,1/235.3,1/509.8,1/437.0,1/0.0
ネオアイムジャグラーEX,896,2042,-541,7,4,0,1/185.6,1/291.7,1/510.5,1/0.0
ネオアイムジャグラーEX,897,744,-587,1,1,0,1/372.0,1/744.0,1/744.0,1/0.0
ネオアイムジャグラーEX,898,5917,2860,34,14,0,1/123.3,1/174.0,1/422.6,1/0.0
ネオアイムジャグラーEX,899,1557,-1151,2,4,0,1/259.5,1/778.5,1/389.2,1/0.0
ネオアイムジャグラーEX,900,5134,360,20,17,0,1/138.8,1/256.7,1/302.0,1/0.0
ネオアイムジャグラーEX,901,4280,-1640,11,10,0,1/203.8,1/389.1,1/428.0,1/0.0
ネオアイムジャグラーEX,902,6806,1419,28,23,0,1/133.5,1/243.1,1/295.9,1/0.0
ネオアイムジャグラーEX,903,2202,192,7,11,0,1/122.3,1/314.6,1/200.2,1/0.0
ネオアイムジャグラーEX,904,2532,-1314,4,8,0,1/211.0,1/633.0,1/316.5,1/0.0
ネオアイムジャグラーEX,905,1662,-773,3,5,0,1/207.8,1/554.0,1/332.4,1/0.0
ネオアイムジャグラーEX,906,7520,-459,24,27,0,1/147.5,1/313.3,1/278.5,1/0.0
ネオアイムジャグラーEX,907,3715,-709,11,13,0,1/154.8,1/337.7,1/285.8,1/0.0
ネオアイムジャグラーEX,908,6769,599,25,22,0,1/144.0,1/270.8,1/307.7,1/0.0
ネオアイムジャグラーEX,909,3443,430,14,11,0,1/137.7,1/245.9,1/313.0,1/0.0
ネオアイムジャグラーEX,910,1431,424,6,7,0,1/110.1,1/238.5,1/204.4,1/0.0
ネオアイムジャグラーEX,911,5082,-459,18,13,0,1/163.9,1/282.3,1/390.9,1/0.0
ネオアイムジャグラーEX,912,3230,663,15,8,0,1/140.4,1/215.3,1/403.8,1/0.0
ネオアイムジャグラーEX,913,459,-192,1,0,0,1/459.0,1/459.0,1/0.0,1/0.0
ネオアイムジャグラーEX,914,6033,1570,30,14,0,1/137.1,1/201.1,1/430.9,1/0.0
ネオアイムジャグラーEX,915,488,-320,1,1,0,1/244.0,1/488.0,1/488.0,1/0.0
ネオアイムジャグラーEX,916,6178,1558,29,16,0,1/137.3,1/213.0,1/386.1,1/0.0
ネオアイムジャグラーEX,917,2442,-1523,3,8,0,1/222.0,1/814.0,1/305.2,1/0.0
ネオアイムジャグラーEX,918,2674,-506,7,8,0,1/178.3,1/382.0,1/334.2,1/0.0
ネオアイムジャグラーEX,919,3617,692,14,14,0,1/129.2,1/258.4,1/258.4,1/0.0
ネオアイムジャグラーEX,920,6810,105,25,24,0,1/139.0,1/272.4,1/283.8,1/0.0
ゴーゴージャグラー3,921,4235,436,19,11,0,1/141.2,1/222.9,1/385.0,1/0.0
ゴーゴージャグラー3,922,6405,-965,21,23,0,1/145.6,1/305.0,1/278.5,1/0.0
ゴーゴージャグラー3,923,4054,-703,14,9,0,1/176.3,1/289.6,1/450.4,1/0.0
ゴーゴージャグラー3,924,6238,1965,32,21,0,1/117.7,1/194.9,1/297.0,1/0.0
ゴーゴージャグラー3,925,5026,407,22,15,0,1/135.8,1/228.5,1/335.1,1/0.0
ゴーゴージャグラー3,926,1528,-483,3,6,0,1/169.8,1/509.3,1/254.7,1/0.0
ゴーゴージャグラー3,927,5063,-860,16,19,0,1/144.7,1/316.4,1/266.5,1/0.0
ゴーゴージャグラー3,928,1967,-424,6,6,0,1/163.9,1/327.8,1/327.8,1/0.0
ゴーゴージャグラー3,929,8144,2395,33,41,0,1/110.1,1/246.8,1/198.6,1/0.0
ゴーゴージャグラー3,930,7785,1640,29,41,0,1/111.2,1/268.4,1/189.9,1/0.0
ゴーゴージャグラー3,931,7354,1802,31,34,0,1/113.1,1/237.2,1/216.3,1/0.0
ゴーゴージャグラー3,932,4836,-593,16,18,0,1/142.2,1/302.2,1/268.7,1/0.0
ゴーゴージャグラー3,933,3015,-1058,6,14,0,1/150.8,1/502.5,1/215.4,1/0.0
ゴーゴージャグラー3,934,5200,663,20,20,0,1/130.0,1/260.0,1/260.0,1/0.0
ゴーゴージャグラー3,935,3956,-523,14,11,0,1/158.2,1/282.6,1/359.6,1/0.0
ゴーゴージャグラー3,936,7162,2488,35,28,0,1/113.7,1/204.6,1/255.8,1/0.0
ゴーゴージャグラー3,937,1056,-680,1,3,0,1/264.0,1/1056.0,1/352.0,1/0.0
ゴーゴージャグラー3,938,2972,343,16,4,0,1/148.6,1/185.8,1/743.0,1/0.0
ゴーゴージャグラー3,939,5196,919,26,11,0,1/140.4,1/199.8,1/472.4,1/0.0
ゴーゴージャグラー3,940,4002,-1058,13,6,0,1/210.6,1/307.8,1/667.0,1/0.0
スマスロ北斗の拳,291,5935,-674,58,20,0,1/76.1,1/102.3,1/296.8,1/0.0
スマスロ北斗の拳,292,382,-99,3,1,0,1/95.5,1/127.3,1/382.0,1/0.0
スマスロ北斗の拳,293,1536,-1384,6,2,0,1/192.0,1/256.0,1/768.0,1/0.0
スマスロ北斗の拳,294,1135,-936,5,2,0,1/162.1,1/227.0,1/567.5,1/0.0
スマスロ北斗の拳,295,2678,1802,44,6,0,1/53.6,1/60.9,1/446.3,1/0.0
スマスロ北斗の拳,296,701,-448,3,1,0,1/175.2,1/233.7,1/701.0,1/0.0
スマスロ北斗の拳,297,1560,-1221,8,3,0,1/141.8,1/195.0,1/520.0,1/0.0
スマスロ北斗の拳,298,4858,756,57,16,0,1/66.5,1/85.2,1/303.6,1/0.0
スマスロ北斗の拳,299,2805,-686,26,7,0,1/85.0,1/107.9,1/400.7,1/0.0
スマスロ北斗の拳,300,4855,221,53,12,0,1/74.7,1/91.6,1/404.6,1/0.0
スマスロ北斗の拳,301,3144,-919,26,7,0,1/95.3,1/120.9,1/449.1,1/0.0
スマスロ北斗の拳,302,2805,-256,30,7,0,1/75.8,1/93.5,1/400.7,1/0.0
スマスロ北斗の拳,303,1325,-709,8,2,0,1/132.5,1/165.6,1/662.5,1/0.0
スマスロ北斗の拳,304,782,2581,29,2,0,1/25.2,1/27.0,1/391.0,1/0.0
スマスロ北斗の拳,305,2779,-674,24,8,0,1/86.8,1/115.8,1/347.4,1/0.0
スマスロ北斗の拳,306,1668,-1430,7,4,0,1/151.6,1/238.3,1/417.0,1/0.0
スマスロ北斗の拳,307,1931,407,26,3,0,1/66.6,1/74.3,1/643.7,1/0.0
スマスロ北斗の拳,308,542,-483,2,1,0,1/180.7,1/271.0,1/542.0,1/0.0
スマスロ北斗の拳,309,6302,8047,122,22,0,1/43.8,1/51.7,1/286.5,1/0.0
スマスロ北斗の拳,310,4520,-1105,45,13,0,1/77.9,1/100.4,1/347.7,1/0.0
ハナハナホウオウ～天翔～-30,641,831,-424,2,0,0,1/415.5,1/415.5,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,642,1562,-41,6,2,0,1/195.2,1/260.3,1/781.0,1/0.0
ハナハナホウオウ～天翔～-30,643,407,-413,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,644,3366,-87,11,8,0,1/177.2,1/306.0,1/420.8,1/0.0
ハナハナホウオウ～天翔～-30,645,1306,-262,5,1,0,1/217.7,1/261.2,1/1306.0,1/0.0
ハナハナホウオウ～天翔～-30,646,602,-564,0,1,0,1/602.0,1/0.0,1/602.0,1/0.0
ハナハナホウオウ～天翔～-30,647,3972,634,18,10,0,1/141.9,1/220.7,1/397.2,1/0.0
ハナハナホウオウ～天翔～-30,648,650,29,3,1,0,1/162.5,1/216.7,1/650.0,1/0.0
ハナハナホウオウ～天翔～-30,649,480,-215,2,0,0,1/240.0,1/240.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,650,1384,-99,6,1,0,1/197.7,1/230.7,1/1384.0,1/0.0
ハナハナホウオウ～天翔～-30,671,601,-564,1,0,0,1/601.0,1/601.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,672,1850,-87,4,6,0,1/185.0,1/462.5,1/308.3,1/0.0
ハナハナホウオウ～天翔～-30,673,2107,64,9,2,0,1/191.5,1/234.1,1/1053.5,1/0.0
ハナハナホウオウ～天翔～-30,674,2439,29,9,6,0,1/162.6,1/271.0,1/406.5,1/0.0
ハナハナホウオウ～天翔～-30,675,886,-262,3,0,0,1/295.3,1/295.3,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,676,854,-76,3,1,0,1/213.5,1/284.7,1/854.0,1/0.0
