機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
アイムジャグラーEX-TP,881,4345,-1081,15,7,0,1/197.5,1/289.7,1/620.7,1/0.0
アイムジャグラーEX-TP,882,2846,-669,10,3,0,1/218.9,1/284.6,1/948.7,1/0.0
アイムジャグラーEX-TP,883,4073,-390,12,14,0,1/156.7,1/339.4,1/290.9,1/0.0
アイムジャグラーEX-TP,884,4944,-1128,12,16,0,1/176.6,1/412.0,1/309.0,1/0.0
アイムジャグラーEX-TP,885,1196,-529,4,1,0,1/239.2,1/299.0,1/1196.0,1/0.0
アイムジャグラーEX-TP,886,3706,-35,15,6,0,1/176.5,1/247.1,1/617.7,1/0.0
アイムジャグラーEX-TP,887,3098,99,14,5,0,1/163.1,1/221.3,1/619.6,1/0.0
アイムジャグラーEX-TP,888,1496,-1105,2,2,0,1/374.0,1/748.0,1/748.0,1/0.0
アイムジャグラーEX-TP,889,1822,29,8,3,0,1/165.6,1/227.8,1/607.3,1/0.0
アイムジャグラーEX-TP,890,1921,-994,3,4,0,1/274.4,1/640.3,1/480.2,1/0.0
アイムジャグラーEX-TP,891,4133,-1872,10,6,0,1/258.3,1/413.3,1/688.8,1/0.0
アイムジャグラーEX-TP,892,768,-320,2,1,0,1/256.0,1/384.0,1/768.0,1/0.0
アイムジャグラーEX-TP,893,5957,-570,22,11,0,1/180.5,1/270.8,1/541.5,1/0.0
アイムジャグラーEX-TP,894,914,-576,2,0,0,1/457.0,1/457.0,1/0.0,1/0.0
アイムジャグラーEX-TP,895,2324,-1430,3,7,0,1/232.4,1/774.7,1/332.0,1/0.0
アイムジャグラーEX-TP,896,1933,-355,7,3,0,1/193.3,1/276.1,1/644.3,1/0.0
アイムジャグラーEX-TP,897,1575,-355,5,3,0,1/196.9,1/315.0,1/525.0,1/0.0
アイムジャグラーEX-TP,898,3269,-500,12,5,0,1/192.3,1/272.4,1/653.8,1/0.0
アイムジャグラーEX-TP,899,2903,-407,9,8,0,1/170.8,1/322.6,1/362.9,1/0.0
アイムジャグラーEX-TP,900,6107,-81,22,20,0,1/145.4,1/277.6,1/305.4,1/0.0
アイムジャグラーEX-TP,901,3041,52,13,3,0,1/190.1,1/233.9,1/1013.7,1/0.0
アイムジャグラーEX-TP,902,5540,291,22,17,0,1/142.1,1/251.8,1/325.9,1/0.0
アイムジャグラーEX-TP,903,2621,343,11,9,0,1/131.1,1/238.3,1/291.2,1/0.0
アイムジャグラーEX-TP,904,2049,-134,7,6,0,1/157.6,1/292.7,1/341.5,1/0.0
アイムジャグラーEX-TP,905,5880,773,25,17,0,1/140.0,1/235.2,1/345.9,1/0.0
アイムジャグラーEX-TP,906,1335,285,5,7,0,1/111.2,1/267.0,1/190.7,1/0.0
アイムジャグラーEX-TP,907,4226,-1663,7,16,0,1/183.7,1/603.7,1/264.1,1/0.0
アイムジャグラーEX-TP,908,750,-17,3,1,0,1/187.5,1/250.0,1/750.0,1/0.0
アイムジャグラーEX-TP,909,4925,-267,16,19,0,1/140.7,1/307.8,1/259.2,1/0.0
アイムジャグラーEX-TP,910,2809,-99,9,10,0,1/147.8,1/312.1,1/280.9,1/0.0
アイムジャグラーEX-TP,911,888,436,5,1,0,1/148.0,1/177.6,1/888.0,1/0.0
アイムジャグラーEX-TP,912,5207,378,22,17,0,1/133.5,1/236.7,1/306.3,1/0.0
アイムジャグラーEX-TP,913,7553,1605,33,20,0,1/142.5,1/228.9,1/377.6,1/0.0
アイムジャグラーEX-TP,914,1998,-424,6,5,0,1/181.6,1/333.0,1/399.6,1/0.0
アイムジャグラーEX-TP,915,835,-645,1,1,0,1/417.5,1/835.0,1/835.0,1/0.0
アイムジャグラーEX-TP,916,3278,-215,13,5,0,1/182.1,1/252.2,1/655.6,1/0.0
アイムジャグラーEX-TP,917,4808,250,16,21,0,1/129.9,1/300.5,1/229.0,1/0.0
