機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
アイムジャグラーEX-TP,881,3368,-599,10,9,0,1/177.3,1/336.8,1/374.2,1/0.0
アイムジャグラーEX-TP,882,1596,-99,6,3,0,1/177.3,1/266.0,1/532.0,1/0.0
アイムジャグラーEX-TP,883,6522,2012,29,25,0,1/120.8,1/224.9,1/260.9,1/0.0
アイムジャグラーEX-TP,884,1250,-715,2,5,0,1/178.6,1/625.0,1/250.0,1/0.0
アイムジャグラーEX-TP,885,1738,-1267,3,2,0,1/347.6,1/579.3,1/869.0,1/0.0
アイムジャグラーEX-TP,886,1403,-680,2,5,0,1/200.4,1/701.5,1/280.6,1/0.0
アイムジャグラーEX-TP,887,4866,779,20,18,0,1/128.1,1/243.3,1/270.3,1/0.0
アイムジャグラーEX-TP,888,3592,750,14,16,0,1/119.7,1/256.6,1/224.5,1/0.0
アイムジャグラーEX-TP,889,1186,610,8,0,0,1/148.2,1/148.2,1/0.0,1/0.0
アイムジャグラーEX-TP,890,3515,1500,18,11,0,1/121.2,1/195.3,1/319.5,1/0.0
アイムジャグラーEX-TP,891,478,-227,1,1,0,1/239.0,1/478.0,1/478.0,1/0.0
アイムジャグラーEX-TP,892,6784,1105,25,31,0,1/121.1,1/271.4,1/218.8,1/0.0
アイムジャグラーEX-TP,893,3445,-273,10,14,0,1/143.5,1/344.5,1/246.1,1/0.0
アイムジャグラーEX-TP,894,2209,-250,8,5,0,1/169.9,1/276.1,1/441.8,1/0.0
アイムジャグラーEX-TP,895,3265,-1081,9,7,0,1/204.1,1/362.8,1/466.4,1/0.0
アイムジャグラーEX-TP,896,3172,1151,16,13,0,1/109.4,1/198.2,1/244.0,1/0.0
アイムジャグラーEX-TP,897,966,262,5,4,0,1/107.3,1/193.2,1/241.5,1/0.0
アイムジャグラーEX-TP,898,3317,895,14,10,0,1/138.2,1/236.9,1/331.7,1/0.0
アイムジャグラーEX-TP,899,1127,-285,4,2,0,1/187.8,1/281.8,1/563.5,1/0.0
アイムジャグラーEX-TP,900,5836,988,25,18,0,1/135.7,1/233.4,1/324.2,1/0.0
アイムジャグラーEX-TP,901,3497,-576,11,12,0,1/152.0,1/317.9,1/291.4,1/0.0
アイムジャグラーEX-TP,902,6176,-430,20,22,0,1/147.0,1/308.8,1/280.7,1/0.0
アイムジャグラーEX-TP,903,1622,-994,2,3,0,1/324.4,1/811.0,1/540.7,1/0.0
