機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,834,-692,1,1,0,1/417.0,1/834.0,1/834.0,1/0.0
ネオアイムジャグラーEX,882,5178,285,22,13,0,1/147.9,1/235.4,1/398.3,1/0.0
ネオアイムジャグラーEX,883,455,-448,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ネオアイムジャグラーEX,884,566,-494,1,0,0,1/566.0,1/566.0,1/0.0,1/0.0
ネオアイムジャグラーEX,885,1340,-64,5,2,0,1/191.4,1/268.0,1/670.0,1/0.0
ネオアイムジャグラーEX,886,1241,-87,5,2,0,1/177.3,1/248.2,1/620.5,1/0.0
ネオアイムジャグラーEX,887,1157,-820,1,5,0,1/192.8,1/1157.0,1/231.4,1/0.0
ネオアイムジャグラーEX,888,3779,2302,21,13,0,1/111.1,1/180.0,1/290.7,1/0.0
ネオアイムジャグラーEX,889,457,-285,1,0,0,1/457.0,1/457.0,1/0.0,1/0.0
ネオアイムジャグラーEX,890,4676,-483,15,14,0,1/161.2,1/311.7,1/334.0,1/0.0
ネオアイムジャグラーEX,891,799,-494,2,0,0,1/399.5,1/399.5,1/0.0,1/0.0
ネオアイムジャグラーEX,892,1570,-657,5,2,0,1/224.3,1/314.0,1/785.0,1/0.0
ネオアイムジャグラーEX,893,1910,-436,6,3,0,1/212.2,1/318.3,1/636.7,1/0.0
ネオアイムジャグラーEX,894,2002,-273,6,7,0,1/154.0,1/333.7,1/286.0,1/0.0
ネオアイムジャグラーEX,895,816,-238,2,3,0,1/163.2,1/408.0,1/272.0,1/0.0
ネオアイムジャグラーEX,896,4415,-390,14,18,0,1/138.0,1/315.4,1/245.3,1/0.0
ネオアイムジャグラーEX,897,873,99,4,1,0,1/174.6,1/218.2,1/873.0,1/0.0
ネオアイムジャグラーEX,898,1333,331,7,2,0,1/148.1,1/190.4,1/666.5,1/0.0
ネオアイムジャグラーEX,899,4598,826,21,15,0,1/127.7,1/219.0,1/306.5,1/0.0
ネオアイムジャグラーEX,900,1222,134,5,3,0,1/152.8,1/244.4,1/407.3,1/0.0
ネオアイムジャグラーEX,901,2661,-29,12,4,0,1/166.3,1/221.8,1/665.2,1/0.0
ネオアイムジャグラーEX,902,2359,413,8,13,0,1/112.3,1/294.9,1/181.5,1/0.0
ネオアイムジャグラーEX,903,874,-634,1,1,0,1/437.0,1/874.0,1/874.0,1/0.0
ネオアイムジャグラーEX,904,410,-494,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ネオアイムジャグラーEX,905,2927,-1081,8,5,0,1/225.2,1/365.9,1/585.4,1/0.0
ネオアイムジャグラーEX,906,1981,-250,6,6,0,1/165.1,1/330.2,1/330.2,1/0.0
ネオアイムジャグラーEX,907,1982,965,10,7,0,1/116.6,1/198.2,1/283.1,1/0.0
ネオアイムジャグラーEX,908,1765,-331,4,8,0,1/147.1,1/441.2,1/220.6,1/0.0
ネオアイムジャグラーEX,909,786,-657,1,0,0,1/786.0,1/786.0,1/0.0,1/0.0
ネオアイムジャグラーEX,910,2749,-110,10,7,0,1/161.7,1/274.9,1/392.7,1/0.0
ネオアイムジャグラーEX,911,1215,-843,1,4,0,1/243.0,1/1215.0,1/303.8,1/0.0
ネオアイムジャグラーEX,912,2948,320,12,8,0,1/147.4,1/245.7,1/368.5,1/0.0
ネオアイムジャグラーEX,913,596,-41,2,1,0,1/198.7,1/298.0,1/596.0,1/0.0
ネオアイムジャグラーEX,914,1464,-436,3,6,0,1/162.7,1/488.0,1/244.0,1/0.0
ネオアイムジャグラーEX,915,1407,-52,5,3,0,1/175.9,1/281.4,1/469.0,1/0.0
ネオアイムジャグラーEX,916,3551,-797,11,8,0,1/186.9,1/322.8,1/443.9,1/0.0
ネオアイムジャグラーEX,917,2001,110,8,5,0,1/153.9,1/250.1,1/400.2,1/0.0
ネオアイムジャグラーEX,918,2293,-285,8,5,0,1/176.4,1/286.6,1/458.6,1/0.0
ネオアイムジャグラーEX,919,1743,-750,5,2,0,1/249.0,1/348.6,1/871.5,1/0.0
ネオアイムジャグラーEX,920,1358,-1174,2,0,0,1/679.0,1/679.0,1/0.0,1/0.0
ゴーゴージャグラー3,921,4609,-436,17,10,0,1/170.7,1/271.1,1/460.9,1/0.0
ゴーゴージャグラー3,922,1395,215,6,4,0,1/139.5,1/232.5,1/348.8,1/0.0
ゴーゴージャグラー3,923,1774,-552,6,2,0,1/221.8,1/295.7,1/887.0,1/0.0
