機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,4892,110,21,9,0,1/163.1,1/233.0,1/543.6,1/0.0
ネオアイムジャグラーEX,882,2502,-703,7,5,0,1/208.5,1/357.4,1/500.4,1/0.0
ネオアイムジャグラーEX,883,1960,448,10,2,0,1/163.3,1/196.0,1/980.0,1/0.0
ネオアイムジャグラーEX,884,994,-517,3,0,0,1/331.3,1/331.3,1/0.0,1/0.0
ネオアイムジャグラーEX,885,4172,-1244,11,12,0,1/181.4,1/379.3,1/347.7,1/0.0
ネオアイムジャグラーEX,886,798,-262,2,1,0,1/266.0,1/399.0,1/798.0,1/0.0
ネオアイムジャグラーEX,887,2992,-250,12,5,0,1/176.0,1/249.3,1/598.4,1/0.0
ネオアイムジャグラーEX,888,849,-378,3,0,0,1/283.0,1/283.0,1/0.0,1/0.0
ネオアイムジャグラーEX,889,4151,826,18,13,0,1/133.9,1/230.6,1/319.3,1/0.0
ネオアイムジャグラーEX,890,1450,99,7,1,0,1/181.2,1/207.1,1/1450.0,1/0.0
ネオアイムジャグラーEX,891,2990,-134,12,6,0,1/166.1,1/249.2,1/498.3,1/0.0
ネオアイムジャグラーEX,892,1349,-64,5,3,0,1/168.6,1/269.8,1/449.7,1/0.0
ネオアイムジャグラーEX,893,1881,-378,8,1,0,1/209.0,1/235.1,1/1881.0,1/0.0
ネオアイムジャグラーEX,894,4727,634,21,17,0,1/124.4,1/225.1,1/278.1,1/0.0
ネオアイムジャグラーEX,895,1692,285,7,5,0,1/141.0,1/241.7,1/338.4,1/0.0
ネオアイムジャグラーEX,896,3420,-645,10,11,0,1/162.9,1/342.0,1/310.9,1/0.0
ネオアイムジャグラーEX,897,1092,-913,1,3,0,1/273.0,1/1092.0,1/364.0,1/0.0
ネオアイムジャグラーEX,898,3510,-1151,9,10,0,1/184.7,1/390.0,1/351.0,1/0.0
ネオアイムジャグラーEX,899,951,76,4,2,0,1/158.5,1/237.8,1/475.5,1/0.0
ネオアイムジャグラーEX,900,4097,366,15,16,0,1/132.2,1/273.1,1/256.1,1/0.0
ネオアイムジャグラーEX,901,2459,366,10,7,0,1/144.6,1/245.9,1/351.3,1/0.0
ネオアイムジャグラーEX,902,7422,1884,32,32,0,1/116.0,1/231.9,1/231.9,1/0.0
ネオアイムジャグラーEX,903,917,390,5,3,0,1/114.6,1/183.4,1/305.7,1/0.0
ネオアイムジャグラーEX,904,4617,483,17,15,0,1/144.3,1/271.6,1/307.8,1/0.0
ネオアイムジャグラーEX,905,1857,-41,5,7,0,1/154.8,1/371.4,1/265.3,1/0.0
ネオアイムジャグラーEX,906,1149,-715,3,1,0,1/287.2,1/383.0,1/1149.0,1/0.0
