機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
アイムジャグラーEX-TP,881,6684,-517,23,17,0,1/167.1,1/290.6,1/393.2,1/0.0
アイムジャグラーEX-TP,882,6155,99,24,17,0,1/150.1,1/256.5,1/362.1,1/0.0
アイムジャグラーEX-TP,883,4298,-1779,10,11,0,1/204.7,1/429.8,1/390.7,1/0.0
アイムジャグラーEX-TP,884,3648,-1570,8,9,0,1/214.6,1/456.0,1/405.3,1/0.0
アイムジャグラーEX-TP,885,4721,-733,15,11,0,1/181.6,1/314.7,1/429.2,1/0.0
アイムジャグラーEX-TP,886,3099,-500,10,9,0,1/163.1,1/309.9,1/344.3,1/0.0
アイムジャグラーEX-TP,887,6821,849,29,21,0,1/136.4,1/235.2,1/324.8,1/0.0
アイムジャグラーEX-TP,888,6202,-174,23,17,0,1/155.1,1/269.7,1/364.8,1/0.0
アイムジャグラーEX-TP,889,2488,-459,8,5,0,1/191.4,1/311.0,1/497.6,1/0.0
アイムジャグラーEX-TP,890,7144,738,25,33,0,1/123.2,1/285.8,1/216.5,1/0.0
アイムジャグラーEX-TP,891,4134,547,19,9,0,1/147.6,1/217.6,1/459.3,1/0.0
アイムジャグラーEX-TP,892,7791,547,31,23,0,1/144.3,1/251.3,1/338.7,1/0.0
アイムジャグラーEX-TP,893,4765,-203,18,14,0,1/148.9,1/264.7,1/340.4,1/0.0
アイムジャグラーEX-TP,894,5710,-709,18,16,0,1/167.9,1/317.2,1/356.9,1/0.0
アイムジャグラーEX-TP,895,4970,872,22,14,0,1/138.1,1/225.9,1/355.0,1/0.0
アイムジャグラーEX-TP,896,6979,-29,24,24,0,1/145.4,1/290.8,1/290.8,1/0.0
アイムジャグラーEX-TP,897,4127,-738,14,9,0,1/179.4,1/294.8,1/458.6,1/0.0
アイムジャグラーEX-TP,898,5441,-1453,15,15,0,1/181.4,1/362.7,1/362.7,1/0.0
アイムジャグラーEX-TP,899,3029,-1267,7,7,0,1/216.4,1/432.7,1/432.7,1/0.0
アイムジャグラーEX-TP,900,5705,285,21,19,0,1/142.6,1/271.7,1/300.3,1/0.0
アイムジャグラーEX-TP,901,5117,-2163,14,8,0,1/232.6,1/365.5,1/639.6,1/0.0
アイムジャグラーEX-TP,902,4720,-2163,10,12,0,1/214.5,1/472.0,1/393.3,1/0.0
アイムジャグラーEX-TP,903,4026,-378,12,15,0,1/149.1,1/335.5,1/268.4,1/0.0
アイムジャグラーEX-TP,904,7374,2860,39,21,0,1/122.9,1/189.1,1/351.1,1/0.0
アイムジャグラーEX-TP,905,5183,0,18,18,0,1/144.0,1/287.9,1/287.9,1/0.0
アイムジャグラーEX-TP,906,8125,2070,38,22,0,1/135.4,1/213.8,1/369.3,1/0.0
アイムジャグラーEX-TP,907,4078,-41,16,10,0,1/156.8,1/254.9,1/407.8,1/0.0
アイムジャグラーEX-TP,908,7179,2814,38,23,0,1/117.7,1/188.9,1/312.1,1/0.0
アイムジャグラーEX-TP,909,3947,-1640,9,9,0,1/219.3,1/438.6,1/438.6,1/0.0
アイムジャグラーEX-TP,910,6852,680,28,21,0,1/139.8,1/244.7,1/326.3,1/0.0
アイムジャグラーEX-TP,911,8183,2535,38,28,0,1/124.0,1/215.3,1/292.2,1/0.0
アイムジャグラーEX-TP,912,6646,-849,21,17,0,1/174.9,1/316.5,1/390.9,1/0.0
アイムジャグラーEX-TP,913,4184,145,15,16,0,1/135.0,1/278.9,1/261.5,1/0.0
アイムジャグラーEX-TP,914,5234,227,21,14,0,1/149.5,1/249.2,1/373.9,1/0.0
アイムジャグラーEX-TP,915,7469,1593,34,26,0,1/124.5,1/219.7,1/287.3,1/0.0
アイムジャグラーEX-TP,916,7121,413,27,23,0,1/142.4,1/263.7,1/309.6,1/0.0
アイムジャグラーEX-TP,917,5701,1977,29,18,0,1/121.3,1/196.6,1/316.7,1/0.0
アイムジャグラーEX-TP,918,5251,1570,28,12,0,1/131.3,1/187.5,1/437.6,1/0.0
アイムジャグラーEX-TP,919,5769,3326,37,13,0,1/115.4,1/155.9,1/443.8,1/0.0
アイムジャグラーEX-TP,920,6171,-924,17,18,0,1/176.3,1/363.0,1/342.8,1/0.0
ゴーゴージャグラー3,921,8419,-872,23,45,0,1/123.8,1/366.0,1/187.1,1/0.0
ゴーゴージャグラー3,922,4009,-1198,11,11,0,1/182.2,1/364.5,1/364.5,1/0.0
ゴーゴージャグラー3,923,7356,-145,29,23,0,1/141.5,1/253.7,1/319.8,1/0.0
ゴーゴージャグラー3,924,3303,-459,13,6,0,1/173.8,1/254.1,1/550.5,1/0.0
ゴーゴージャグラー3,925,6199,-58,24,18,0,1/147.6,1/258.3,1/344.4,1/0.0
