機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,7030,-831,24,17,0,1/171.5,1/292.9,1/413.5,1/0.0
ネオアイムジャグラーEX,882,8398,692,38,17,0,1/152.7,1/221.0,1/494.0,1/0.0
ネオアイムジャグラーEX,883,8364,2674,35,38,0,1/114.6,1/239.0,1/220.1,1/0.0
ネオアイムジャグラーEX,884,7594,-1744,21,19,0,1/189.8,1/361.6,1/399.7,1/0.0
ネオアイムジャグラーEX,885,6927,779,30,15,0,1/153.9,1/230.9,1/461.8,1/0.0
ネオアイムジャグラーEX,886,7021,2209,35,23,0,1/121.1,1/200.6,1/305.3,1/0.0
ネオアイムジャグラーEX,887,9111,1105,36,36,0,1/126.5,1/253.1,1/253.1,1/0.0
ネオアイムジャグラーEX,888,7347,2535,38,19,0,1/128.9,1/193.3,1/386.7,1/0.0
ネオアイムジャグラーEX,889,8447,3930,44,33,0,1/109.7,1/192.0,1/256.0,1/0.0
ネオアイムジャグラーEX,890,6875,1035,27,22,0,1/140.3,1/254.6,1/312.5,1/0.0
ネオアイムジャグラーEX,891,8228,552,27,39,0,1/124.7,1/304.7,1/211.0,1/0.0
ネオアイムジャグラーEX,892,8911,157,27,38,0,1/137.1,1/330.0,1/234.5,1/0.0
ネオアイムジャグラーEX,893,8116,-267,25,37,0,1/130.9,1/324.6,1/219.4,1/0.0
ネオアイムジャグラーEX,894,7040,-360,25,25,0,1/140.8,1/281.6,1/281.6,1/0.0
ネオアイムジャグラーEX,895,8716,-622,31,25,0,1/155.6,1/281.2,1/348.6,1/0.0
ネオアイムジャグラーEX,896,7825,52,27,28,0,1/142.3,1/289.8,1/279.5,1/0.0
ネオアイムジャグラーEX,897,6619,1337,31,12,0,1/153.9,1/213.5,1/551.6,1/0.0
ネオアイムジャグラーEX,898,8906,-157,28,41,0,1/129.1,1/318.1,1/217.2,1/0.0
ネオアイムジャグラーEX,899,7856,831,27,33,0,1/130.9,1/291.0,1/238.1,1/0.0
ネオアイムジャグラーEX,900,7120,1151,30,24,0,1/131.9,1/237.3,1/296.7,1/0.0
ネオアイムジャグラーEX,901,6984,1686,33,20,0,1/131.8,1/211.6,1/349.2,1/0.0
ネオアイムジャグラーEX,902,7786,-919,24,30,0,1/144.2,1/324.4,1/259.5,1/0.0
ネオアイムジャグラーEX,903,8600,692,33,30,0,1/136.5,1/260.6,1/286.7,1/0.0
ネオアイムジャグラーEX,904,7000,128,28,22,0,1/140.0,1/250.0,1/318.2,1/0.0
ネオアイムジャグラーEX,905,8714,802,28,46,0,1/117.8,1/311.2,1/189.4,1/0.0
ネオアイムジャグラーEX,906,6320,-826,21,15,0,1/175.6,1/301.0,1/421.3,1/0.0
ネオアイムジャグラーEX,907,7718,1884,32,26,0,1/133.1,1/241.2,1/296.8,1/0.0
ネオアイムジャグラーEX,908,7288,198,29,22,0,1/142.9,1/251.3,1/331.3,1/0.0
ネオアイムジャグラーEX,909,6412,-1453,17,25,0,1/152.7,1/377.2,1/256.5,1/0.0
ネオアイムジャグラーEX,910,8472,535,32,26,0,1/146.1,1/264.8,1/325.8,1/0.0
ネオアイムジャグラーEX,911,7978,198,30,22,0,1/153.4,1/265.9,1/362.6,1/0.0
ネオアイムジャグラーEX,912,6134,3802,34,24,0,1/105.8,1/180.4,1/255.6,1/0.0
ネオアイムジャグラーEX,913,8061,2395,35,32,0,1/120.3,1/230.3,1/251.9,1/0.0
ネオアイムジャグラーEX,914,8141,1372,36,21,0,1/142.8,1/226.1,1/387.7,1/0.0
ネオアイムジャグラーEX,915,7443,1942,33,33,0,1/112.8,1/225.5,1/225.5,1/0.0
ネオアイムジャグラーEX,916,8104,-494,29,21,0,1/162.1,1/279.4,1/385.9,1/0.0
ネオアイムジャグラーEX,917,8122,3279,40,29,0,1/117.7,1/203.1,1/280.1,1/0.0
ネオアイムジャグラーEX,918,8397,1930,32,39,0,1/118.3,1/262.4,1/215.3,1/0.0
