機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,6963,1651,33,20,0,1/131.4,1/211.0,1/348.1,1/0.0
ネオアイムジャグラーEX,882,4141,384,18,9,0,1/153.4,1/230.1,1/460.1,1/0.0
ネオアイムジャグラーEX,883,879,-424,2,1,0,1/293.0,1/439.5,1/879.0,1/0.0
ネオアイムジャグラーEX,884,2444,-64,10,4,0,1/174.6,1/244.4,1/611.0,1/0.0
ネオアイムジャグラーEX,885,2555,-1523,5,4,0,1/283.9,1/511.0,1/638.8,1/0.0
ネオアイムジャグラーEX,886,1023,-692,2,0,0,1/511.5,1/511.5,1/0.0,1/0.0
ネオアイムジャグラーEX,887,2719,-657,9,6,0,1/181.3,1/302.1,1/453.2,1/0.0
ネオアイムジャグラーEX,888,1195,-483,3,2,0,1/239.0,1/398.3,1/597.5,1/0.0
ネオアイムジャグラーEX,889,4118,610,19,9,0,1/147.1,1/216.7,1/457.6,1/0.0
ネオアイムジャグラーEX,890,1806,-390,6,2,0,1/225.8,1/301.0,1/903.0,1/0.0
ネオアイムジャグラーEX,891,1693,-448,4,4,0,1/211.6,1/423.2,1/423.2,1/0.0
ネオアイムジャグラーEX,892,1793,-1384,2,4,0,1/298.8,1/896.5,1/448.2,1/0.0
ネオアイムジャグラーEX,893,2528,-453,6,8,0,1/180.6,1/421.3,1/316.0,1/0.0
ネオアイムジャグラーEX,894,2320,1058,14,4,0,1/128.9,1/165.7,1/580.0,1/0.0
ネオアイムジャグラーEX,895,1594,-76,6,3,0,1/177.1,1/265.7,1/531.3,1/0.0
ネオアイムジャグラーEX,896,1391,-1477,1,2,0,1/463.7,1/1391.0,1/695.5,1/0.0
ネオアイムジャグラーEX,897,874,-448,2,1,0,1/291.3,1/437.0,1/874.0,1/0.0
ネオアイムジャグラーEX,898,4578,2116,25,13,0,1/120.5,1/183.1,1/352.2,1/0.0
ネオアイムジャグラーEX,899,7003,151,24,24,0,1/145.9,1/291.8,1/291.8,1/0.0
ネオアイムジャグラーEX,900,2798,570,16,1,0,1/164.6,1/174.9,1/2798.0,1/0.0
ネオアイムジャグラーEX,901,4305,-564,16,9,0,1/172.2,1/269.1,1/478.3,1/0.0
ネオアイムジャグラーEX,902,5469,1081,23,16,0,1/140.2,1/237.8,1/341.8,1/0.0
ネオアイムジャグラーEX,903,7296,-81,27,20,0,1/155.2,1/270.2,1/364.8,1/0.0
ネオアイムジャグラーEX,904,650,-390,1,2,0,1/216.7,1/650.0,1/325.0,1/0.0
ネオアイムジャグラーEX,905,1958,180,6,10,0,1/122.4,1/326.3,1/195.8,1/0.0
ネオアイムジャグラーEX,906,3882,-1384,7,16,0,1/168.8,1/554.6,1/242.6,1/0.0
ネオアイムジャグラーEX,907,1838,-122,7,4,0,1/167.1,1/262.6,1/459.5,1/0.0
ネオアイムジャグラーEX,908,4757,872,23,10,0,1/144.2,1/206.8,1/475.7,1/0.0
ネオアイムジャグラーEX,909,3145,180,14,7,0,1/149.8,1/224.6,1/449.3,1/0.0
ネオアイムジャグラーEX,910,3094,355,15,5,0,1/154.7,1/206.3,1/618.8,1/0.0
ネオアイムジャグラーEX,911,1308,-634,3,1,0,1/327.0,1/436.0,1/1308.0,1/0.0
ネオアイムジャグラーEX,912,5322,-1930,12,15,0,1/197.1,1/443.5,1/354.8,1/0.0
ネオアイムジャグラーEX,913,1708,-273,7,2,0,1/189.8,1/244.0,1/854.0,1/0.0
ネオアイムジャグラーEX,914,1369,-1058,2,1,0,1/456.3,1/684.5,1/1369.0,1/0.0
ネオアイムジャグラーEX,915,2247,-587,6,6,0,1/187.2,1/374.5,1/374.5,1/0.0
ネオアイムジャグラーEX,916,1897,122,8,2,0,1/189.7,1/237.1,1/948.5,1/0.0
ネオアイムジャグラーEX,917,7823,1291,33,21,0,1/144.9,1/237.1,1/372.5,1/0.0
ネオアイムジャグラーEX,918,1915,-180,8,2,0,1/191.5,1/239.4,1/957.5,1/0.0
ネオアイムジャグラーEX,919,1606,-192,7,2,0,1/178.4,1/229.4,1/803.0,1/0.0
ネオアイムジャグラーEX,920,4498,-1477,12,8,0,1/224.9,1/374.8,1/562.2,1/0.0
ゴーゴージャグラー3,921,5250,1012,19,28,0,1/111.7,1/276.3,1/187.5,1/0.0
