機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,8437,2535,41,24,0,1/129.8,1/205.8,1/351.5,1/0.0
ネオアイムジャグラーEX,882,7691,552,30,26,0,1/137.3,1/256.4,1/295.8,1/0.0
ネオアイムジャグラーEX,883,5860,-1837,17,14,0,1/189.0,1/344.7,1/418.6,1/0.0
ネオアイムジャグラーEX,884,4824,-1640,16,5,0,1/229.7,1/301.5,1/964.8,1/0.0
ネオアイムジャグラーEX,885,6863,-2860,15,14,0,1/236.7,1/457.5,1/490.2,1/0.0
ネオアイムジャグラーEX,886,6443,-29,25,19,0,1/146.4,1/257.7,1/339.1,1/0.0
ネオアイムジャグラーEX,887,6540,919,29,15,0,1/148.6,1/225.5,1/436.0,1/0.0
ネオアイムジャグラーEX,888,6408,849,28,19,0,1/136.3,1/228.9,1/337.3,1/0.0
ネオアイムジャグラーEX,889,6280,593,26,17,0,1/146.0,1/241.5,1/369.4,1/0.0
ネオアイムジャグラーEX,890,5037,-1221,15,11,0,1/193.7,1/335.8,1/457.9,1/0.0
ネオアイムジャグラーEX,891,4661,-1174,13,15,0,1/166.5,1/358.5,1/310.7,1/0.0
ネオアイムジャグラーEX,892,8622,1779,35,36,0,1/121.4,1/246.3,1/239.5,1/0.0
ネオアイムジャグラーEX,893,4290,-1895,10,8,0,1/238.3,1/429.0,1/536.2,1/0.0
ネオアイムジャグラーEX,894,6652,663,27,18,0,1/147.8,1/246.4,1/369.6,1/0.0
ネオアイムジャグラーEX,895,5347,-262,21,11,0,1/167.1,1/254.6,1/486.1,1/0.0
ネオアイムジャグラーEX,896,5311,-1930,11,18,0,1/183.1,1/482.8,1/295.1,1/0.0
ネオアイムジャグラーEX,897,6935,1744,31,22,0,1/130.8,1/223.7,1/315.2,1/0.0
ネオアイムジャグラーEX,898,5497,-1709,14,16,0,1/183.2,1/392.6,1/343.6,1/0.0
ネオアイムジャグラーEX,899,7213,3326,40,22,0,1/116.3,1/180.3,1/327.9,1/0.0
ネオアイムジャグラーEX,900,6856,203,23,19,0,1/163.2,1/298.1,1/360.8,1/0.0
ネオアイムジャグラーEX,901,8181,-29,31,27,0,1/141.1,1/263.9,1/303.0,1/0.0
ネオアイムジャグラーEX,902,7477,849,33,17,0,1/149.5,1/226.6,1/439.8,1/0.0
ネオアイムジャグラーEX,903,6707,-1407,20,22,0,1/159.7,1/335.4,1/304.9,1/0.0
ネオアイムジャグラーEX,904,5789,-430,21,13,0,1/170.3,1/275.7,1/445.3,1/0.0
ネオアイムジャグラーEX,905,7144,-1523,18,25,0,1/166.1,1/396.9,1/285.8,1/0.0
ネオアイムジャグラーEX,906,4548,-2070,10,10,0,1/227.4,1/454.8,1/454.8,1/0.0
ネオアイムジャグラーEX,907,8709,1337,37,28,0,1/134.0,1/235.4,1/311.0,1/0.0
ネオアイムジャグラーEX,908,6340,-547,21,18,0,1/162.6,1/301.9,1/352.2,1/0.0
ネオアイムジャグラーEX,909,6815,-1151,18,26,0,1/154.9,1/378.6,1/262.1,1/0.0
ネオアイムジャグラーEX,910,8964,2767,44,28,0,1/124.5,1/203.7,1/320.1,1/0.0
ネオアイムジャグラーEX,911,6866,1279,30,20,0,1/137.3,1/228.9,1/343.3,1/0.0
ネオアイムジャグラーEX,912,8719,1826,35,38,0,1/119.4,1/249.1,1/229.4,1/0.0
ネオアイムジャグラーEX,913,7182,750,28,25,0,1/135.5,1/256.5,1/287.3,1/0.0
ネオアイムジャグラーEX,914,6361,360,24,19,0,1/147.9,1/265.0,1/334.8,1/0.0
ネオアイムジャグラーEX,915,8537,965,29,37,0,1/129.3,1/294.4,1/230.7,1/0.0
ネオアイムジャグラーEX,916,7204,1035,28,26,0,1/133.4,1/257.3,1/277.1,1/0.0
ネオアイムジャグラーEX,917,7179,1000,29,22,0,1/140.8,1/247.6,1/326.3,1/0.0
ネオアイムジャグラーEX,918,5574,-151,21,14,0,1/159.3,1/265.4,1/398.1,1/0.0
ネオアイムジャグラーEX,919,5400,-471,20,11,0,1/174.2,1/270.0,1/490.9,1/0.0
ネオアイムジャグラーEX,920,6387,-953,22,18,0,1/159.7,1/290.3,1/354.8,1/0.0
ゴーゴージャグラー3,921,6650,733,29,20,0,1/135.7,1/229.3,1/332.5,1/0.0
ゴーゴージャグラー3,922,7536,1267,33,21,0,1/139.6,1/228.4,1/358.9,1/0.0
ゴーゴージャグラー3,923,4260,-965,15,12,0,1/157.8,1/284.0,1/355.0,1/0.0
ゴーゴージャグラー3,924,5189,-1570,17,12,0,1/178.9,1/305.2,1/432.4,1/0.0
ゴーゴージャグラー3,925,7340,-337,24,32,0,1/131.1,1/305.8,1/229.4,1/0.0
ゴーゴージャグラー3,926,4222,-669,11,15,0,1/162.4,1/383.8,1/281.5,1/0.0
ゴーゴージャグラー3,927,8105,3047,44,24,0,1/119.2,1/184.2,1/337.7,1/0.0
ゴーゴージャグラー3,928,6674,-413,24,24,0,1/139.0,1/278.1,1/278.1,1/0.0
ゴーゴージャグラー3,929,4327,-552,14,12,0,1/166.4,1/309.1,1/360.6,1/0.0
ゴーゴージャグラー3,930,3728,-988,11,12,0,1/162.1,1/338.9,1/310.7,1/0.0
ゴーゴージャグラー3,931,6798,965,24,37,0,1/111.4,1/283.2,1/183.7,1/0.0
ゴーゴージャグラー3,932,7247,238,29,20,0,1/147.9,1/249.9,1/362.4,1/0.0
ゴーゴージャグラー3,933,3836,-2023,8,11,0,1/201.9,1/479.5,1/348.7,1/0.0
