機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,2423,-1221,6,3,0,1/269.2,1/403.8,1/807.7,1/0.0
ネオアイムジャグラーEX,882,2962,157,12,4,0,1/185.1,1/246.8,1/740.5,1/0.0
ネオアイムジャグラーEX,883,8748,709,35,27,0,1/141.1,1/249.9,1/324.0,1/0.0
ネオアイムジャグラーEX,884,2370,1384,14,7,0,1/112.9,1/169.3,1/338.6,1/0.0
ネオアイムジャグラーEX,885,2800,-41,12,4,0,1/175.0,1/233.3,1/700.0,1/0.0
ネオアイムジャグラーEX,886,1201,-413,3,2,0,1/240.2,1/400.3,1/600.5,1/0.0
ネオアイムジャグラーEX,887,4467,965,22,11,0,1/135.4,1/203.0,1/406.1,1/0.0
ネオアイムジャグラーEX,888,2490,285,11,6,0,1/146.5,1/226.4,1/415.0,1/0.0
ネオアイムジャグラーEX,889,4638,593,20,13,0,1/140.5,1/231.9,1/356.8,1/0.0
ネオアイムジャグラーEX,890,913,-285,3,1,0,1/228.2,1/304.3,1/913.0,1/0.0
ネオアイムジャグラーEX,891,2158,-936,4,6,0,1/215.8,1/539.5,1/359.7,1/0.0
ネオアイムジャグラーEX,892,3721,-779,12,7,0,1/195.8,1/310.1,1/531.6,1/0.0
ネオアイムジャグラーEX,893,2393,-448,8,6,0,1/170.9,1/299.1,1/398.8,1/0.0
ネオアイムジャグラーEX,894,4384,337,18,13,0,1/141.4,1/243.6,1/337.2,1/0.0
ネオアイムジャグラーEX,895,5060,29,20,12,0,1/158.1,1/253.0,1/421.7,1/0.0
ネオアイムジャグラーEX,896,2378,-948,6,8,0,1/169.9,1/396.3,1/297.2,1/0.0
ネオアイムジャグラーEX,897,3160,-378,9,14,0,1/137.4,1/351.1,1/225.7,1/0.0
ネオアイムジャグラーEX,898,963,-320,3,0,0,1/321.0,1/321.0,1/0.0,1/0.0
ネオアイムジャグラーEX,899,4914,-1640,12,17,0,1/169.4,1/409.5,1/289.1,1/0.0
ネオアイムジャグラーEX,900,2093,-564,8,2,0,1/209.3,1/261.6,1/1046.5,1/0.0
ネオアイムジャグラーEX,901,6578,2907,34,23,0,1/115.4,1/193.5,1/286.0,1/0.0
ネオアイムジャグラーEX,902,1168,-273,3,4,0,1/166.9,1/389.3,1/292.0,1/0.0
ネオアイムジャグラーEX,903,1118,1221,10,2,0,1/93.2,1/111.8,1/559.0,1/0.0
ネオアイムジャグラーEX,904,6326,756,25,22,0,1/134.6,1/253.0,1/287.5,1/0.0
ネオアイムジャグラーEX,905,3517,-343,13,11,0,1/146.5,1/270.5,1/319.7,1/0.0
ネオアイムジャグラーEX,906,1602,-773,4,2,0,1/267.0,1/400.5,1/801.0,1/0.0
ネオアイムジャグラーEX,907,2298,-122,9,4,0,1/176.8,1/255.3,1/574.5,1/0.0
ネオアイムジャグラーEX,908,5409,640,23,15,0,1/142.3,1/235.2,1/360.6,1/0.0
ネオアイムジャグラーEX,909,623,-494,1,0,0,1/623.0,1/623.0,1/0.0,1/0.0
ネオアイムジャグラーEX,910,3574,750,16,10,0,1/137.5,1/223.4,1/357.4,1/0.0
ネオアイムジャグラーEX,911,3732,756,19,7,0,1/143.5,1/196.4,1/533.1,1/0.0
ネオアイムジャグラーEX,912,3995,1453,17,19,0,1/111.0,1/235.0,1/210.3,1/0.0
ネオアイムジャグラーEX,913,538,-157,2,0,0,1/269.0,1/269.0,1/0.0,1/0.0
ネオアイムジャグラーEX,914,6438,1453,27,28,0,1/117.1,1/238.4,1/229.9,1/0.0
ネオアイムジャグラーEX,915,791,-203,3,2,0,1/158.2,1/263.7,1/395.5,1/0.0
ネオアイムジャグラーEX,916,2030,-680,6,3,0,1/225.6,1/338.3,1/676.7,1/0.0
ネオアイムジャグラーEX,917,4349,547,19,12,0,1/140.3,1/228.9,1/362.4,1/0.0
ネオアイムジャグラーEX,918,1573,-855,4,3,0,1/224.7,1/393.2,1/524.3,1/0.0
ネオアイムジャグラーEX,919,2396,401,12,2,0,1/171.1,1/199.7,1/1198.0,1/0.0
ネオアイムジャグラーEX,920,5903,1035,25,21,0,1/128.3,1/236.1,1/281.1,1/0.0
ゴーゴージャグラー3,921,6174,1651,29,25,0,1/114.3,1/212.9,1/247.0,1/0.0
ゴーゴージャグラー3,922,1286,-390,4,3,0,1/183.7,1/321.5,1/428.7,1/0.0
ゴーゴージャグラー3,923,2550,-965,6,7,0,1/196.2,1/425.0,1/364.3,1/0.0
ゴーゴージャグラー3,924,791,-541,2,0,0,1/395.5,1/395.5,1/0.0,1/0.0
ゴーゴージャグラー3,925,3739,-547,13,9,0,1/170.0,1/287.6,1/415.4,1/0.0
ゴーゴージャグラー3,926,1554,-1198,1,4,0,1/310.8,1/1554.0,1/388.5,1/0.0
ゴーゴージャグラー3,927,1545,-622,4,2,0,1/257.5,1/386.2,1/772.5,1/0.0
ゴーゴージャグラー3,928,1201,-355,4,2,0,1/200.2,1/300.2,1/600.5,1/0.0
ゴーゴージャグラー3,929,5037,-988,14,20,0,1/148.1,1/359.8,1/251.8,1/0.0
ゴーゴージャグラー3,930,4519,1233,20,21,0,1/110.2,1/225.9,1/215.2,1/0.0
ゴーゴージャグラー3,931,1795,-924,3,4,0,1/256.4,1/598.3,1/448.8,1/0.0
ゴーゴージャグラー3,932,1530,-203,4,8,0,1/127.5,1/382.5,1/191.2,1/0.0
ゴーゴージャグラー3,933,6048,2116,31,25,0,1/108.0,1/195.1,1/241.9,1/0.0
ゴーゴージャグラー3,934,1323,285,7,4,0,1/120.3,1/189.0,1/330.8,1/0.0
ゴーゴージャグラー3,935,3800,267,17,10,0,1/140.7,1/223.5,1/380.0,1/0.0
ゴーゴージャグラー3,936,1111,-1058,1,2,0,1/370.3,1/1111.0,1/555.5,1/0.0
ゴーゴージャグラー3,937,4360,1314,22,18,0,1/109.0,1/198.2,1/242.2,1/0.0
ゴーゴージャグラー3,938,758,-401,2,1,0,1/252.7,1/379.0,1/758.0,1/0.0
ゴーゴージャグラー3,939,2808,948,16,9,0,1/112.3,1/175.5,1/312.0,1/0.0
ゴーゴージャグラー3,940,2170,-122,9,3,0,1/180.8,1/241.1,1/723.3,1/0.0
スマスロ北斗の拳,291,1792,-360,17,3,0,1/89.6,1/105.4,1/597.3,1/0.0
スマスロ北斗の拳,292,1160,1035,19,4,0,1/50.4,1/61.1,1/290.0,1/0.0
スマスロ北斗の拳,293,1753,128,21,5,0,1/67.4,1/83.5,1/350.6,1/0.0
スマスロ北斗の拳,294,2832,-2628,8,7,0,1/188.8,1/354.0,1/404.6,1/0.0
スマスロ北斗の拳,295,2028,-1570,7,4,0,1/184.4,1/289.7,1/507.0,1/0.0
