機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,1002,-599,2,2,0,1/250.5,1/501.0,1/501.0,1/0.0
ネオアイムジャグラーEX,882,1599,-250,5,8,0,1/123.0,1/319.8,1/199.9,1/0.0
ネオアイムジャグラーEX,883,6929,-1128,23,15,0,1/182.3,1/301.3,1/461.9,1/0.0
ネオアイムジャグラーEX,884,1068,1012,9,2,0,1/97.1,1/118.7,1/534.0,1/0.0
ネオアイムジャグラーEX,885,1115,401,6,2,0,1/139.4,1/185.8,1/557.5,1/0.0
ネオアイムジャグラーEX,886,4456,1360,24,9,0,1/135.0,1/185.7,1/495.1,1/0.0
ネオアイムジャグラーEX,887,492,-355,1,1,0,1/246.0,1/492.0,1/492.0,1/0.0
ネオアイムジャグラーEX,888,2501,-355,8,9,0,1/147.1,1/312.6,1/277.9,1/0.0
ネオアイムジャグラーEX,889,2066,-634,7,3,0,1/206.6,1/295.1,1/688.7,1/0.0
ネオアイムジャグラーEX,890,1769,-262,4,6,0,1/176.9,1/442.2,1/294.8,1/0.0
ネオアイムジャグラーEX,891,7423,1512,35,17,0,1/142.8,1/212.1,1/436.6,1/0.0
ネオアイムジャグラーEX,892,689,401,4,1,0,1/137.8,1/172.2,1/689.0,1/0.0
ネオアイムジャグラーEX,893,225,-320,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ネオアイムジャグラーEX,894,3090,-453,10,9,0,1/162.6,1/309.0,1/343.3,1/0.0
ネオアイムジャグラーEX,895,3210,448,13,11,0,1/133.8,1/246.9,1/291.8,1/0.0
ネオアイムジャグラーEX,896,1634,-250,5,8,0,1/125.7,1/326.8,1/204.2,1/0.0
ネオアイムジャグラーEX,897,1325,436,8,2,0,1/132.5,1/165.6,1/662.5,1/0.0
ネオアイムジャグラーEX,898,3029,686,15,6,0,1/144.2,1/201.9,1/504.8,1/0.0
ネオアイムジャグラーEX,899,1079,41,4,4,0,1/134.9,1/269.8,1/269.8,1/0.0
ネオアイムジャグラーEX,900,2685,-797,8,7,0,1/179.0,1/335.6,1/383.6,1/0.0
ネオアイムジャグラーEX,901,3048,1105,17,6,0,1/132.5,1/179.3,1/508.0,1/0.0
ネオアイムジャグラーEX,902,3115,703,13,13,0,1/119.8,1/239.6,1/239.6,1/0.0
ネオアイムジャグラーEX,903,4332,227,16,16,0,1/135.4,1/270.8,1/270.8,1/0.0
ネオアイムジャグラーEX,904,761,-64,2,3,0,1/152.2,1/380.5,1/253.7,1/0.0
ネオアイムジャグラーEX,905,973,436,6,1,0,1/139.0,1/162.2,1/973.0,1/0.0
